"Genus","Species"
"Acropora","ridzwani"
"Astrangia","atrata"
"Astreopora","explanata"
"Blastomussa","merleti"
"Favites","melicerum"
"Goniopora","polyformis"
"Goniopora","tantillus"
"Heliofungia","fralinae"
"Idiotrochus","emarciatus"
"Montipora","echinata"
"Oculina","profunda"
"Pavona","chiriquiensis"
"Pavona","danai"
"Platygyra","yaeyamaensis"
"Plerogyra","multilobata"
"Polycyathus","fulvus"
"Polycyathus","furanaensis"
"Pseudosiderastrea","formosa"
