"Genus","Species"
"Platygyra","ryukyuensis"
"Platygyra","sinensis"
"Platygyra","verweyi"
"Plerogyra","sinuosa"
"Plesiastrea","versipora"
"Pleuractis","granulosa"
"Pleuractis","paumotensis"
"Pocillopora","capitata"
"Pocillopora","damicornis"
"Pocillopora","elegans"
"Pocillopora","eydouxi"
"Pocillopora","ligulata"
"Pocillopora","meandrina"
"Pocillopora","molokensis"
"Pocillopora","verrucosa"
"Podabacia","crustacea"
"Polycyathus","chaishanensis"
"Polyphyllia","talpina"
"Porites","annae"
"Porites","astreoides"
"Porites","brighami"
"Porites","colonensis"
"Porites","compressa"
"Porites","cylindrica"
"Porites","divaricata"
"Porites","evermanni"
"Porites","furcata"
"Porites","lichen"
"Porites","lobata"
"Porites","lutea"
"Porites","mayeri"
"Porites","nigrescens"
"Porites","panamensis"
"Porites","porites"
"Porites","profundus"
"Porites","rus"
"Porites","sillimaniani"
"Porites","stephensoni"
"Porites","vaughani"
"Psammocora","contigua"
"Psammocora","digitata"
"Psammocora","haimiana"
"Psammocora","profundacella"
"Psammocora","stellata"
"Psammocora","superficialis"
"Pseudodiploria","clivosa"
"Pseudodiploria","strigosa"
"Sandalolitha","robusta"
"Seriatopora","caliendrum"
"Seriatopora","hystrix"
"Siderastrea","radians"
"Siderastrea","siderea"
"Stephanocoenia","intersepta"
"Stylocoeniella","armata"
"Stylophora","pistillata"
"Symphyllia","agaricia"
"Symphyllia","radians"
"Symphyllia","recta"
"Turbinaria","frondens"
"Turbinaria","heronensis"
"Turbinaria","mesenterina"
"Turbinaria","reniformis"
"Turbinaria","stellulata"
