"""Genus""","""Species""",,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted
"""Favia""","""lizardensis""",,758225,exact,Dipsastraea lizardensis,758225,Dipsastraea lizardensis
"""Favia""","""maritima""",,758236,exact,Dipsastraea maritima,758236,Dipsastraea maritima
"""Favia""","""marshae""",,758226,exact,Dipsastraea marshae,758226,Dipsastraea marshae
"""Favia""","""matthaii""",,758240,exact,Dipsastraea matthaii,758240,Dipsastraea matthaii
"""Favia""","""maxima""",,,ambiguous,,,
"""Favia""","""rosaria""",,758229,exact,Dipsastraea rosaria,758229,Dipsastraea rosaria
"""Favia""","""rotumana""",,758237,exact,Dipsastraea rotumana,758237,Dipsastraea rotumana
"""Favia""","""rotundata""",,207445,exact,Favites rotundata,207445,Favites rotundata
"""Favia""","""speciosa""",,758219,exact,Dipsastraea speciosa,758219,Dipsastraea speciosa
"""Favia""","""truncatus""",,,ambiguous,,,
"""Favia""","""vietnamensis""",,758227,exact,Dipsastraea vietnamensis,758227,Dipsastraea vietnamensis
"""Favites""","""bestae""",,411194,exact,Favites bestae,758217,Favites melicerum
"""Favites""","""micropentagona""",,763551,exact,Favites micropentagona,288821,Favites micropentagonus
"""Favites""","""paraflexuosa""",,763552,exact,Favites paraflexuosa,288822,Favites paraflexuosus
"""Goniastrea""","""deformis""",,817178,exact,Paragoniastrea deformis,817178,Paragoniastrea deformis
"""Goniastrea""","""palauensis""",,762428,exact,Coelastrea palauensis,762428,Coelastrea palauensis
"""Goniastrea""","""peresi""",,762398,exact,Paramontastraea peresi,762398,Paramontastraea peresi
"""Montastraea""","""annularis""",,758260,exact,Orbicella annularis,758260,Orbicella annularis
"""Montastraea""","""annuligera""",,762420,exact,Astrea annuligera,762420,Astrea annuligera
"""Montastraea""","""colemani""",,763489,exact,Favites colemani,763489,Favites colemani
"""Montastraea""","""curta""",,634390,exact,Astasia curta,634390,Astasia curta
"""Montastraea""","""faveolata""",,758261,exact,Orbicella faveolata,758261,Orbicella faveolata
"""Montastraea""","""franksi""",,758262,exact,Orbicella franksi,758262,Orbicella franksi
"""Montastraea""","""magnistellata""",,763512,exact,Favites magnistellata,763512,Favites magnistellata
"""Montastraea""","""multipunctata""",,886930,exact,Micromussa multipunctata,886930,Micromussa multipunctata
"""Montastraea""","""salebrosa""",,762397,exact,Paramontastraea salebrosa,762397,Paramontastraea salebrosa
"""Montastraea""","""serageldini""",,762399,exact,Paramontastraea serageldini,762399,Paramontastraea serageldini
"""Montastraea""","""valenciennesi""",,763525,exact,Favites valenciennesi,763525,Favites valenciennesi
"""Parasimplastrea""","""sheppardi""",,290681,exact,Parasimplastrea sheppardi,207387,Blastomussa loyae
"""Plesiastrea""","""devantieri""",,762422,exact,Astrea devantieri,762422,Astrea devantieri
"""Flabellum""","""apertum""",,,ambiguous,,,
"""Flabellum""","""transversale""",,,ambiguous,,,
"""Javania""","""erhardti""",,388635,exact,Javania erhardti,388635,Javania erhardti
"""Placotrochides""","""cylindrica""",,287040,exact,Placotrochides cylindrica,287040,Placotrochides cylindrica
"""Placotrochides""","""minuta""",,,ambiguous,,,
"""Truncatoflabellum""","""cumingi""",,,ambiguous,,,
"""Truncatoflabellum""","""viginifarium""",,,,,,
"""Truncatoflabellum""","""zuluense""",,287072,exact,Truncatoflabellum zuluense,287072,Truncatoflabellum zuluense
"""Fungiacyathus""","""pusillus""",,,ambiguous,,,
"""Lithophyllon""","""puishani""",,288855,exact,Fungia puishani,207350,Fungia fungites
"""Stolarskicyathus""","""pocilliformis""",,291138,exact,Stolarskicyathus pocilliformis,291138,Stolarskicyathus pocilliformis
"""Meandrina""","""jacksoni""",,,ambiguous,,,
"""Acanthastrea""","""bowerbanki""",,886931,exact,Homophyllia bowerbanki,886931,Homophyllia bowerbanki
"""Acanthastrea""","""faviaformis""",,888171,exact,Dipsastraea faviaformis,888171,Dipsastraea faviaformis
"""Acanthastrea""","""maxima""",,,ambiguous,,,
"""Australomussa""","""rowleyensis""",,888123,exact,Lobophyllia rowleyensis,888123,Lobophyllia rowleyensis
"""Isophyllastrea""","""rigida""",,,ambiguous,,,
"""Lobophyllia""","""dentatus""",,,ambiguous,,,
"""Lobophyllia""","""serratus""",,,ambiguous,,,
"""Scolymia""","""australis""",,,ambiguous,,,
"""Scolymia""","""vitiensis""",,888126,exact,Lobophyllia vitiensis,888126,Lobophyllia vitiensis
"""Sclerhelia""","""hirtella""",,291032,exact,Sclerhelia hirtella,291032,Sclerhelia hirtella
"""Pectinia""","""ayleni""",,288353,exact,Physophyllia ayleni,288353,Physophyllia ayleni
"""Pocillopora""","""effusus""",,763797,exact,Pocillopora effusus,289247,Pocillopora effusa
"""Pocillopora""","""setichelli""",,,,,,
"""Seriatopora""","""dendritica""",,,ambiguous,,,
"""Seriatopora""","""guttatus""",,,ambiguous,,,
"""Goniopora""","""stutchburyi""",,764221,exact,Bernardpora stutchburyi,764221,Bernardpora stutchburyi
"""Machadoporites""","""tantillus""",,290324,exact,Machadoporites tantillus,290324,Machadoporites tantillus
"""Poritipora""","""paliformis""",,764226,exact,Goniopora paliformis,764226,Goniopora paliformis
"""Astrangia""","""astrata""",,,,,,
"""Culicia""","""rachelfitzhardingeae""",,288361,exact,Culicia rachelfitzhardingeae,288361,Culicia rachelfitzhardingeae
"""Culicia""","""tenella""",,,ambiguous,,,
"""Cylicia""","""inflata""",,289770,exact,Cylicia inflata,289770,Cylicia inflata
"""Oulangia""","""stokesiana""",,346428,exact,Oulangia stokesiana,346428,Oulangia stokesiana
"""Coscinaraea""","""wellsi""",,716291,exact,Cycloseris wellsi,716291,Cycloseris wellsi
"""Psammocora""","""decussata""",,,ambiguous,,,
"""Psammocora""","""explanulata""",,716292,exact,Cycloseris explanulata,716292,Cycloseris explanulata
"""Psammocora""","""haimeana""",,207262,exact,Psammocora haimeana,718603,Psammocora haimiana
"""Psammocora""","""nierstraszi""",,207261,exact,Psammocora nierstraszi,207261,Psammocora nierstraszi
"""Psammocora""","""ramosa""",,,ambiguous,,,
"""Psammocora""","""vaughani""",,207266,exact,Psammocora vaughani,411275,Psammocora verrilli
"""Conocyathus""","""formosus""",,289701,exact,Conocyathus formosus,289701,Conocyathus formosus
"""Dunocyathus""","""wallaceae""",,289845,exact,Dunocyathus wallaceae,289845,Dunocyathus wallaceae
"""Foveolocyathus""","""kitsoni""",,509544,exact,Foveolocyathus kitsoni,509544,Foveolocyathus kitsoni
"""Foveolocyathus""","""parkeri""",,289973,exact,Foveolocyathus parkeri,289973,Foveolocyathus parkeri
"""Idiotrochus""","""alatus""",,290179,exact,Idiotrochus alatus,290179,Idiotrochus alatus
"""Lissotrochus""","""curvatus""",,290306,exact,Lissotrochus curvatus,290306,Lissotrochus curvatus
"""Sphenotrochus""","""cuneolus""",,,ambiguous,,,
"""Sphenotrochus""","""lindstroemi""",,,ambiguous,,,
"""Tropidocyathus""","""lessoni""",,,ambiguous,,,
