"Genus","Species"
"Platygyra","daedalea"
"Platygyra","lamellina"
"Platygyra","pini"
"Platygyra","ryukyuensis"
"Platygyra","sinensis"
"Platygyra","verweyi"
"Plerogyra","sinuosa"
"Plesiastrea","versipora"
"Pleuractis","paumotensis"
"Pocillopora","capitata"
"Pocillopora","damicornis"
"Pocillopora","danae"
"Pocillopora","elegans"
"Pocillopora","eydouxi"
"Pocillopora","inflata"
"Pocillopora","meandrina"
"Pocillopora","verrucosa"
"Podabacia","crustacea"
"Porites","annae"
"Porites","aranetai"
"Porites","astreoides"
"Porites","attenuata"
"Porites","branneri"
"Porites","colonensis"
"Porites","compressa"
"Porites","cylindrica"
"Porites","divaricata"
"Porites","evermanni"
"Porites","furcata"
"Porites","harrisoni"
"Porites","heronensis"
"Porites","horizontalata"
"Porites","lichen"
"Porites","lobata"
"Porites","lutea"
"Porites","mayeri"
"Porites","nigrescens"
"Porites","panamensis"
"Porites","porites"
"Porites","rus"
"Porites","sillimaniana"
"Porites","solida"
"Porites","stephensoni"
"Porites","sverdrupi"
"Porites","vaughani"
"Psammocora","contigua"
"Psammocora","digitata"
"Psammocora","stellata"
"Psammocora","superficialis"
"Pseudosiderastrea","tayami"
"Sandalolitha","robusta"
"Scapophyllia","cylindrica"
"Scolymia","cubensis"
"Scolymia","lacera"
"Seriatopora","caliendrum"
"Seriatopora","hystrix"
"Siderastrea","radians"
"Siderastrea","savignyana"
"Siderastrea","siderea"
"Solenastrea","bournoni"
"Stephanocoenia","intersepta"
"Stylophora","pistillata"
"Symphyllia","agaricia"
"Symphyllia","radians"
"Symphyllia","recta"
"Turbinaria","bifrons"
"Turbinaria","mesenterina"
"Turbinaria","peltata"
