"nameSp","nameSp_checked"
"Hydnophora exesa","Hydnophora exesa"
"Hydnophora microconos","Hydnophora microconos"
"Hydnophora rigida","Hydnophora rigida"
"Isophyllia rigida","Isophyllia rigida"
"Isophyllia sinuosa","Isophyllia sinuosa"
"Isopora brueggemanni","Isopora brueggemanni"
"Isopora cuneata","Isopora cuneata"
"Isopora palifera","Isopora palifera"
"Leptastrea pruinosa","Leptastrea pruinosa"
"Leptastrea purpurea","Leptastrea purpurea"
"Leptastrea transversa","Leptastrea transversa"
"Leptoria irregularis","Leptoria irregularis"
"Leptoria phrygia","Leptoria phrygia"
"Leptoseris cucullata","Helioseris cucullata"
"Leptoseris gardineri","Leptoseris gardineri"
"Leptoseris papyracea","Leptoseris papyracea"
"Leptoseris yabei","Leptoseris yabei"
"Lithophyllon concinna","Lithophyllon concinna"
"Lobactis scutaria","Lobactis scutaria"
"Lobophyllia corymbosa","Lobophyllia corymbosa"
"Lobophyllia flabelliformis","Lobophyllia flabelliformis"
"Lobophyllia hataii","Lobophyllia hataii"
"Lobophyllia hemprichii","Lobophyllia hemprichii"
"Lobophyllia pachysepta","Acanthastrea pachysepta"
"Lobophyllia robusta","Lobophyllia robusta"
"Madracis auretenra","Madracis auretenra"
"Madracis decactis","Madracis decactis"
"Madracis formosa","Madracis formosa"
"Madracis myriaster","Madracis myriaster"
"Madracis pharensis","Madracis pharensis"
"Madracis senaria","Madracis senaria"
"Manicina areolata","Manicina areolata"
"Meandrina danae","Meandrina danae"
"Meandrina meandrites","Meandrina meandrites"
"Merulina ampliata","Merulina ampliata"
"Merulina scabricula","Merulina scabricula"
"Millepora alcicornis","Millepora alcicornis"
"Millepora complanata","Millepora complanata"
"Millepora dichotoma","Millepora dichotoma"
"Millepora exaesa","Millepora exaesa"
"Millepora intricata","Millepora intricata"
"Millepora platyphylla","Millepora platyphylla"
"Millepora tenera","Millepora tenera"
"Montastraea cavernosa","Montastraea cavernosa"
"Montipora aequituberculata","Montipora aequituberculata"
"Montipora caliculata","Montipora caliculata"
"Montipora capitata","Montipora capitata"
"Montipora crassituberculata","Montipora crassituberculata"
"Montipora danae","Montipora danae"
"Montipora digitata","Montipora digitata"
"Montipora dilatata","Montipora dilatata"
"Montipora flabellata","Montipora flabellata"
"Montipora foliosa","Montipora foliosa"
"Montipora foveolata","Montipora foveolata"
"Montipora grisea","Montipora grisea"
"Montipora hispida","Montipora hispida"
"Montipora hoffmeisteri","Montipora hoffmeisteri"
"Montipora informis","Montipora informis"
"Montipora mollis","Montipora mollis"
"Montipora monasteriata","Montipora monasteriata"
"Montipora patula","Montipora patula"
"Montipora peltiformis","Montipora peltiformis"
"Montipora spongodes","Montipora spongodes"
"Montipora tuberculosa","Montipora tuberculosa"
"Montipora undata","Montipora undata"
"Montipora venosa","Montipora venosa"
"Montipora verrucosa","Montipora verrucosa"
"Mussa angulosa","Mussa angulosa"
"Mycedium elephantotus","Mycedium elephantotus"
"Mycetophyllia aliciae","Mycetophyllia aliciae"
"Mycetophyllia danaana","Mycetophyllia danaana"
"Mycetophyllia ferox","Mycetophyllia ferox"
"Mycetophyllia lamarckiana","Mycetophyllia lamarckiana"
"Mycetophyllia reesi","Mycetophyllia reesi"
"Oculina diffusa","Oculina diffusa"
"Oculina valenciennesi","Oculina valenciennesi"
"Oculina varicosa","Oculina varicosa"
"Orbicella annularis","Orbicella annularis"
"Orbicella faveolata","Orbicella faveolata"
"Orbicella franksi","Orbicella franksi"
"Oulophyllia crispa","Oulophyllia crispa"
"Oxypora lacera","Oxypora lacera"
"Pachyseris gemmae","Pachyseris gemmae"
"Pachyseris rugosa","Pachyseris rugosa"
"Pachyseris speciosa","Pachyseris speciosa"
"Palauastrea ramosa","Palauastrea ramosa"
"Paraclavarina triangularis","Merulina triangularis"
"Parascolymia vitensis","Lobophyllia vitiensis"
"Pavona cactus","Pavona cactus"
"Pavona clavus","Pavona clavus"
"Pavona decussata","Pavona decussata"
"Pavona duerdeni","Pavona duerdeni"
"Pavona explanulata","Pavona explanulata"
"Pavona gigantea","Pavona gigantea"
"Pavona maldivensis","Pavona maldivensis"
"Pavona minuta","Pavona minuta"
"Pavona varians","Pavona varians"
"Pavona venosa","Pavona venosa"
"Pectinia alcicornis","Pectinia alcicornis"
"Pectinia lactuca","Pectinia lactuca"
"Pectinia paeonia","Pectinia paeonia"
"Physogyra lichtensteini","Physogyra lichtensteini"
"Platygyra acuta","Platygyra acuta"
"Platygyra daedalea","Platygyra daedalea"
"Platygyra lamellina","Platygyra lamellina"
"Platygyra pini","Platygyra pini"
"Platygyra ryukyuensis","Platygyra ryukyuensis"
"Platygyra sinensis","Platygyra sinensis"
"Platygyra verweyi","Platygyra verweyi"
"Plerogyra sinuosa","Plerogyra sinuosa"
"Plesiastrea versipora","Plesiastrea versipora"
"Pleuractis paumotensis","Pleuractis paumotensis"
"Pocillopora capitata","Pocillopora capitata"
"Pocillopora damicornis","Pocillopora damicornis"
"Pocillopora danae","Pocillopora verrucosa"
"Pocillopora elegans","Pocillopora elegans"
"Pocillopora eydouxi","Pocillopora grandis"
"Pocillopora inflata","Pocillopora inflata"
"Pocillopora meandrina","Pocillopora meandrina"
"Pocillopora verrucosa","Pocillopora verrucosa"
"Podabacia crustacea","Podabacia crustacea"
"Porites annae","Porites annae"
"Porites aranetai","Porites aranetai"
"Porites astreoides","Porites astreoides"
"Porites attenuata","Porites attenuata"
"Porites branneri","Porites branneri"
"Porites colonensis","Porites colonensis"
"Porites compressa","Porites compressa"
"Porites cylindrica","Porites cylindrica"
"Porites divaricata","Porites divaricata"
"Porites evermanni","Porites evermanni"
"Porites furcata","Porites furcata"
"Porites harrisoni","Porites harrisoni"
"Porites heronensis","Porites heronensis"
"Porites horizontalata","Porites horizontalata"
"Porites lichen","Porites lichen"
"Porites lobata","Porites lobata"
"Porites lutea","Porites lutea"
"Porites mayeri","Porites mayeri"
"Porites nigrescens","Porites nigrescens"
"Porites panamensis","Porites panamensis"
"Porites porites","Porites porites"
"Porites rus","Porites rus"
"Porites sillimaniana","Porites sillimaniani"
"Porites solida","Porites solida"
"Porites stephensoni","Porites stephensoni"
"Porites sverdrupi","Porites sverdrupi"
"Porites vaughani","Porites vaughani"
"Psammocora contigua","Psammocora contigua"
"Psammocora digitata","Psammocora digitata"
"Psammocora stellata","Psammocora stellata"
"Psammocora superficialis","Psammocora profundacella"
"Pseudosiderastrea tayami","Pseudosiderastrea tayamai"
"Sandalolitha robusta","Sandalolitha robusta"
"Scapophyllia cylindrica","Scapophyllia cylindrica"
"Scolymia cubensis","Scolymia cubensis"
"Scolymia lacera","Scolymia lacera"
"Seriatopora caliendrum","Seriatopora caliendrum"
"Seriatopora hystrix","Seriatopora hystrix"
"Siderastrea radians","Siderastrea radians"
"Siderastrea savignyana","Siderastrea savignyana"
"Siderastrea siderea","Siderastrea siderea"
"Solenastrea bournoni","Solenastrea bournoni"
"Stephanocoenia intersepta","Stephanocoenia intersepta"
"Stylophora pistillata","Stylophora pistillata"
"Symphyllia agaricia","Lobophyllia agaricia"
"Symphyllia radians","Lobophyllia radians"
"Symphyllia recta","Symphyllia recta"
"Turbinaria bifrons","Turbinaria bifrons"
"Turbinaria mesenterina","Turbinaria mesenterina"
"Turbinaria peltata","Turbinaria peltata"
