"Genus","Species"
"Goniopora","eclipsensis"
"Goniopora","fruticosa"
"Goniopora","minor"
"Goniopora","norfolkensis"
"Goniopora","paliformis"
"Goniopora","palmensis"
"Goniopora","pandoraensis"
"Goniopora","pearsoni"
"Goniopora","pendulus"
"Goniopora","planulata"
"Goniopora","savignyi"
"Goniopora","somaliensis"
"Goniopora","sultani"
"Goniopora","tenella"
"Gyrosmilia","interrupta"
"Halomitra","clavator"
"Halomitra","pileus"
"Heterocyathus","aequicostatus"
"Heteropsammia","cochlea"
"Homophyllia","australis"
"Homophyllia","bowerbanki"
"Homophyllia","hillae"
"Horastrea","indica"
"Hydnophora","bonsai"
"Hydnophora","pilosa"
"Hydnophyllia","wilsoni"
"Indophyllia","macassarensis"
"Isopora","crateriformis"
"Isopora","elizabethensis"
"Isopora","togianensis"
"Leptastrea","aequalis"
"Leptastrea","bewickensis"
"Leptastrea","bottae"
"Leptastrea","inaequalis"
"Leptoseris","amitoriensis"
"Leptoseris","cailleti"
"Leptoseris","explanata"
"Leptoseris","foliosa"
"Leptoseris","hawaiiensis"
"Leptoseris","incrustans"
"Leptoseris","mycetoseroides"
"Leptoseris","scabra"
"Leptoseris","solida"
"Leptoseris","striata"
"Leptoseris","tubulifera"
"Lithophyllon","repanda"
"Lithophyllon","scabra"
"Lithophyllon","spinifer"
"Lithophyllon","undulatum"
"Lobophyllia","dentata"
"Lobophyllia","diminuta"
"Lobophyllia","serrata"
"Madracis","asanoi"
"Madracis","asperula"
"Madracis","kirbyi"
"Madracis","mirabilis"
"Meandrina","braziliensis"
"Merulina","scheeri"
"Merulina","triangularis"
"Micromussa","amakusensis"
"Micromussa","diminuta"
"Micromussa","lordhowensis"
"Micromussa","minuta"
"Micromussa","multipunctata"
"Montigyra","kenti"
"Montipora","altasepta"
"Montipora","angulata"
"Montipora","aspergillus"
"Montipora","australiensis"
"Montipora","cactus"
"Montipora","calcarea"
"Montipora","capricornis"
"Montipora","cebuensis"
"Montipora","circumvallata"
"Montipora","cocosensis"
"Montipora","confusa"
"Montipora","corbettensis"
"Montipora","cryptus"
"Montipora","delicatula"
"Montipora","efflorescens"
"Montipora","effusa"
"Montipora","florida"
"Montipora","floweri"
"Montipora","friabilis"
"Montipora","gaimardi"
"Montipora","hemispherica"
"Montipora","hirsuta"
"Montipora","hodgsoni"
"Montipora","incrassata"
"Montipora","kellyi"
"Montipora","lobulata"
"Montipora","mactanensis"
"Montipora","malampaya"
"Montipora","meandrina"
"Montipora","millepora"
"Montipora","niugini"
"Montipora","nodosa"
"Montipora","orientalis"
"Montipora","pachytuberculata"
"Montipora","palawanensis"
"Montipora","porites"
"Montipora","samarensis"
"Montipora","saudii"
"Montipora","setosa"
"Montipora","spongiosa"
"Montipora","spumosa"
"Montipora","stellata"
"Montipora","stilosa"
"Montipora","taiwanensis"
"Montipora","turtlensis"
"Montipora","verrilli"
"Montipora","verruculosa"
"Montipora","vietnamensis"
"Moseleya","latistellata"
"Mussismilia","braziliensis"
"Mussismilia","harttii"
"Mussismilia","hispida"
"Mussismilia","leptophylla"
"Mycedium","mancaoi"
"Mycedium","robokaki"
"Mycedium","steeni"
"Mycedium","umbra"
"Nemenzophyllia","turbida"
"Oculina","patagonica"
"Oculina","robusta"
"Oulastrea","crispata"
"Oulophyllia","bennettae"
"Oulophyllia","levis"
"Oxypora","convoluta"
"Oxypora","crassispinosa"
"Oxypora","egyptensis"
"Oxypora","glabra"
"Pachyseris","foliosa"
"Pachyseris","involuta"
"Paragoniastrea","australensis"
"Paragoniastrea","deformis"
"Paragoniastrea","russelli"
"Paramontastraea","peresi"
"Paramontastraea","salebrosa"
"Paramontastraea","serageldini"
"Parascolymia","rowleyensis"
"Parascolymia","vitiensis"
"Pavona","bipartita"
"Pavona","diffluens"
"Pectinia","africanus"
"Pectinia","elongata"
"Pectinia","maxima"
"Pectinia","pygmaeus"
"Pectinia","teres"
"Physophyllia","ayleni"
"Platygyra","carnosus"
