"species"
"Danafungia horrida"
"Danafungia scruposa"
"Dendrogyra cylindrus"
"Dichocoenia stokesi"
"Diploastrea heliopora"
"Diploria labyrinthiformis"
"Dipsastraea albida"
"Dipsastraea amicorum"
"Dipsastraea danai"
"Dipsastraea faviaformis"
"Dipsastraea favus"
"Dipsastraea helianthoides"
"Dipsastraea lacuna"
"Dipsastraea laddi"
"Dipsastraea laxa"
"Dipsastraea lizardensis"
"Dipsastraea maritima"
"Dipsastraea marshae"
"Dipsastraea matthaii"
"Dipsastraea maxima"
"Dipsastraea pallida"
"Dipsastraea rosaria"
"Dipsastraea rotumana"
"Dipsastraea speciosa"
"Dipsastraea truncata"
"Dipsastraea veroni"
"Dipsastraea vietnamensis"
"Duncanopsammia axifuga"
"Duncanopsammia peltata"
"Echinomorpha nishihirai"
"Echinophyllia aspera"
"Echinophyllia costata"
"Echinophyllia echinata"
"Echinophyllia echinoporoides"
"Echinophyllia orpheensis"
"Echinophyllia patula"
"Echinophyllia pectinata"
"Echinopora ashmorensis"
"Echinopora forskaliana"
"Echinopora fruticulosa"
"Echinopora gemmacea"
"Echinopora hirsutissima"
"Echinopora horrida"
"Echinopora irregularis"
"Echinopora lamellosa"
"Echinopora mammiformis"
"Echinopora pacificus"
"Echinopora robusta"
"Echinopora taylorae"
"Echinopora tiranensis"
"Erythrastrea flabellata"
"Euphyllia ancora"
"Euphyllia cristata"
"Euphyllia divisa"
"Euphyllia glabrescens"
"Euphyllia paraancora"
"Euphyllia paradivisa"
"Euphyllia paraglabrescens"
"Euphyllia yaeyamaensis"
"Eusmilia fastigiata"
"Favia fragum"
"Favites abdita"
"Favites acuticollis"
"Favites chinensis"
"Favites colemani"
"Favites complanata"
"Favites flexuosa"
"Favites halicora"
"Favites magnistellata"
"Favites melicerum"
"Favites micropentagonus"
"Favites paraflexuosus"
"Favites pentagona"
"Favites rotundata"
"Favites spinosa"
"Favites stylifera"
"Favites valenciennesi"
"Favites vasta"
"Fungia fungites"
"Galaxea acrhelia"
"Galaxea astreata"
"Galaxea cryptoramosa"
"Galaxea fascicularis"
"Galaxea horrescens"
"Galaxea longisepta"
"Galaxea paucisepta"
"Gardineroseris planulata"
"Goniastrea columella"
"Goniastrea edwardsi"
"Goniastrea favulus"
"Goniastrea minuta"
"Goniastrea pectinata"
"Goniastrea ramosa"
"Goniastrea retiformis"
"Goniastrea stelligera"
"Goniastrea thecata"
"Goniopora albiconus"
"Goniopora burgosi"
"Goniopora cellulosa"
"Goniopora ciliatus"
"Goniopora columna"
"Goniopora djiboutiensis"
"Goniopora eclipsensis"
"Goniopora fruticosa"
"Goniopora lobata"
"Goniopora minor"
"Goniopora norfolkensis"
"Goniopora paliformis"
"Goniopora palmensis"
"Goniopora pandoraensis"
"Goniopora pearsoni"
"Goniopora pendulus"
"Goniopora planulata"
"Goniopora polyformis"
"Goniopora savignyi"
"Goniopora somaliensis"
"Goniopora stokesi"
"Goniopora sultani"
"Goniopora tenella"
"Goniopora tenuidens"
"Gyrosmilia interrupta"
"Halomitra clavator"
"Halomitra pileus"
"Heliofungia actiniformis"
"Heliofungia fralinae"
"Herpolitha limax"
"Heterocyathus aequicostatus"
"Heteropsammia cochlea"
"Homophyllia australis"
"Homophyllia bowerbanki"
"Horastrea indica"
"Hydnophora bonsai"
"Hydnophora exesa"
"Hydnophora grandis"
"Hydnophora microconos"
"Hydnophora pilosa"
"Hydnophora rigida"
"Hydnophyllia wilsoni"
"Indophyllia macassarensis"
"Isophyllia rigida"
"Isophyllia sinuosa"
"Isopora brueggemanni"
"Isopora crateriformis"
"Isopora cuneata"
"Isopora elizabethensis"
"Isopora palifera"
"Isopora togianensis"
"Leptastrea aequalis"
"Leptastrea bewickensis"
"Leptastrea bottae"
"Leptastrea inaequalis"
"Leptastrea pruinosa"
"Leptastrea purpurea"
"Leptastrea transversa"
"Leptoria irregularis"
"Leptoria phrygia"
"Leptoseris amitoriensis"
"Leptoseris cailleti"
"Leptoseris cucullata"
"Leptoseris explanata"
"Leptoseris foliosa"
"Leptoseris gardineri"
"Leptoseris hawaiiensis"
"Leptoseris incrustans"
"Leptoseris mycetoseroides"
"Leptoseris papyracea"
"Leptoseris scabra"
"Leptoseris solida"
"Leptoseris striata"
"Leptoseris tubulifera"
"Leptoseris yabei"
"Lithophyllon concinna"
"Lithophyllon repanda"
"Lithophyllon scabra"
"Lithophyllon spinifer"
"Lithophyllon undulatum"
"Lobactis scutaria"
"Lobophyllia corymbosa"
"Lobophyllia dentata"
"Lobophyllia diminuta"
"Lobophyllia flabelliformis"
"Lobophyllia hataii"
"Lobophyllia hemprichii"
"Lobophyllia pachysepta"
"Lobophyllia robusta"
"Lobophyllia serrata"
"Madracis asanoi"
"Madracis asperula"
"Madracis decactis"
"Madracis formosa"
"Madracis kirbyi"
"Madracis mirabilis"
"Madracis pharensis"
"Madracis senaria"
"Manicina areolata"
"Meandrina braziliensis"
"Meandrina meandrites"
"Merulina ampliata"
"Merulina scabricula"
"Merulina scheeri"
"Merulina triangularis"
"Micromussa amakusensis"
"Micromussa diminuta"
"Micromussa lordhowensis"
"Micromussa minuta"
"Micromussa multipunctata"
"Montastraea cavernosa"
"Montigyra kenti"
"Montipora aequituberculata"
"Montipora altasepta"
"Montipora angulata"
"Montipora aspergillus"
"Montipora australiensis"
"Montipora cactus"
"Montipora calcarea"
"Montipora caliculata"
"Montipora capitata"
"Montipora capricornis"
"Montipora cebuensis"
"Montipora circumvallata"
"Montipora cocosensis"
"Montipora confusa"
"Montipora corbettensis"
"Montipora crassituberculata"
"Montipora cryptus"
"Montipora danae"
"Montipora delicatula"
"Montipora digitata"
"Montipora dilatata"
"Montipora echinata"
"Montipora efflorescens"
"Montipora effusa"
"Montipora flabellata"
"Montipora florida"
"Montipora floweri"
"Montipora foliosa"
"Montipora foveolata"
"Montipora friabilis"
"Montipora gaimardi"
"Montipora grisea"
"Montipora hemispherica"
"Montipora hirsuta"
"Montipora hispida"
"Montipora hodgsoni"
"Montipora hoffmeisteri"
"Montipora incrassata"
"Montipora informis"
"Montipora kellyi"
"Montipora lobulata"
"Montipora mactanensis"
"Montipora malampaya"
"Montipora meandrina"
"Montipora millepora"
"Montipora mollis"
"Montipora monasteriata"
"Montipora niugini"
"Montipora nodosa"
"Montipora orientalis"
"Montipora pachytuberculata"
"Montipora palawanensis"
"Montipora patula"
"Montipora peltiformis"
"Montipora porites"
"Montipora samarensis"
"Montipora saudii"
"Montipora setosa"
"Montipora spongiosa"
"Montipora spongodes"
"Montipora spumosa"
"Montipora stellata"
"Montipora stilosa"
"Montipora taiwanensis"
"Montipora tuberculosa"
"Montipora turgescens"
"Montipora turtlensis"
"Montipora undata"
"Montipora venosa"
"Montipora verrilli"
"Montipora verrucosa"
"Montipora verruculosa"
"Montipora vietnamensis"
"Moseleya latistellata"
"Mussa angulosa"
"Mussismilia braziliensis"
"Mussismilia harttii"
"Mussismilia hispida"
"Mussismilia leptophylla"
"Mycedium elephantotus"
"Mycedium mancaoi"
"Mycedium robokaki"
"Mycedium steeni"
"Mycedium umbra"
"Mycetophyllia aliciae"
"Mycetophyllia danaana"
"Mycetophyllia ferox"
"Mycetophyllia lamarckiana"
"Mycetophyllia reesi"
"Nemenzophyllia turbida"
"Oculina diffusa"
"Oculina patagonica"
"Oculina valenciennesi"
"Oculina varicosa"
"Orbicella annularis"
"Oulastrea crispata"
"Oulophyllia bennettae"
"Oulophyllia crispa"
"Oulophyllia levis"
"Oxypora convoluta"
"Oxypora crassispinosa"
"Oxypora egyptensis"
"Oxypora glabra"
"Oxypora lacera"
"Pachyseris foliosa"
"Pachyseris gemmae"
"Pachyseris involuta"
"Pachyseris rugosa"
"Pachyseris speciosa"
"Palauastrea ramosa"
"Paragoniastrea australensis"
"Paragoniastrea deformis"
"Paragoniastrea russelli"
"Paramontastraea peresi"
"Paramontastraea salebrosa"
"Paramontastraea serageldini"
"Parascolymia rowleyensis"
"Parascolymia vitiensis"
"Pavona bipartita"
"Pavona cactus"
"Pavona clavus"
"Pavona danai"
"Pavona decussata"
"Pavona diffluens"
"Pavona duerdeni"
"Pavona explanulata"
"Pavona frondifera"
"Pavona gigantea"
"Pavona maldivensis"
"Pavona minuta"
"Pavona varians"
"Pavona venosa"
"Pectinia africanus"
"Pectinia alcicornis"
"Pectinia elongata"
"Pectinia lactuca"
"Pectinia maxima"
"Pectinia paeonia"
"Pectinia pygmaeus"
"Pectinia teres"
"Physogyra lichtensteini"
"Physophyllia ayleni"
"Platygyra acuta"
"Platygyra carnosus"
"Platygyra contorta"
"Platygyra crosslandi"
"Platygyra daedalea"
"Platygyra lamellina"
"Platygyra pini"
"Platygyra ryukyuensis"
"Platygyra sinensis"
"Platygyra verweyi"
"Platygyra yaeyamaensis"
"Plerogyra discus"
"Plerogyra simplex"
"Plerogyra sinuosa"
"Plesiastrea versipora"
"Pleuractis granulosa"
"Pleuractis moluccensis"
"Pleuractis paumotensis"
"Pleuractis seychellensis"
"Pleuractis taiwanensis"
"Pocillopora ankeli"
"Pocillopora capitata"
"Pocillopora damicornis"
"Pocillopora effusa"
"Pocillopora elegans"
"Pocillopora eydouxi"
"Pocillopora fungiformis"
"Pocillopora indiania"
"Pocillopora inflata"
"Pocillopora kelleheri"
"Pocillopora ligulata"
"Pocillopora meandrina"
