"species","modeLarvalDevelpment"
"Leptastrea bottae","spawner"
"Leptastrea purpurea","spawner"
"Leptopsammia pruvoti","brooder"
"Leptoria phrygia","spawner"
"Leptoseris explanata","spawner"
"Letepsammia formosissima","brooder"
"Lithophyllon concinna","spawner"
"Lithophyllon repanda","spawner"
"Lobactis scutaria","spawner"
"Lobophyllia hemprichii","spawner"
"Lobophyllia radians","spawner"
"Lobophyllia vitiensis","spawner"
"Lophelia pertusa","spawner"
"Madracis formosa","brooder"
"Madracis mirabilis","brooder"
"Madracis pharensis","brooder"
"Madracis senaria","brooder"
"Madrepora oculata","spawner"
"Manicina areolata","brooder"
"Meandrina meandrites","spawner"
"Merulina ampliata","spawner"
"Merulina triangularis","spawner"
"Micromussa amakusensis","spawner"
"Micromussa lordhowensis","spawner"
"Monomyces rubrum","brooder"
"Montipora aequituberculata","spawner"
"Montipora altasepta","spawner"
"Montipora cactus","spawner"
"Montipora capitata","spawner"
"Montipora capricornis","spawner"
"Montipora crassituberculata","spawner"
"Montipora danae","spawner"
"Montipora digitata","spawner"
"Montipora dilatata","spawner"
"Montipora efflorescens","spawner"
"Montipora flabellata","spawner"
"Montipora foliosa","spawner"
"Montipora foveolata","spawner"
"Montipora grisea","spawner"
"Montipora hispida","spawner"
"Montipora hoffmeisteri","spawner"
"Montipora informis","spawner"
"Montipora malampaya","spawner"
"Montipora mollis","spawner"
"Montipora monasteriata","spawner"
"Montipora patula","spawner"
"Montipora peltiformis","spawner"
"Montipora samarensis","spawner"
"Montipora spumosa","spawner"
"Montipora stellata","spawner"
"Montipora tortuosa","spawner"
"Montipora tuberculosa","spawner"
"Montipora turgescens","spawner"
"Montipora turtlensis","spawner"
"Montipora venosa","spawner"
"Montipora verrucosa","spawner"
"Moseleya latistellata","spawner"
"Mussismilia braziliensis","spawner"
"Mussismilia harttii","spawner"
"Mussismilia hispida","spawner"
"Mycedium elephantotus","spawner"
"Mycetophyllia ferox","brooder"
"Oculina varicosa","spawner"
"Orbicella annularis","spawner"
"Orbicella faveolata","spawner"
"Orbicella franksi","spawner"
"Oulastrea crispata","spawner"
"Oulophyllia bennettae","spawner"
"Oulophyllia crispa","spawner"
"Oxypora glabra","spawner"
"Oxypora lacera","spawner"
"Pachyseris rugosa","spawner"
"Pachyseris speciosa","spawner"
"Paracyathus stearnsii","spawner"
"Paragoniastrea australensis","spawner"
"Paragoniastrea deformis","spawner"
"Paragoniastrea russelli","spawner"
"Pavona cactus","spawner"
"Pavona chiriquiensis","spawner"
"Pavona clavus","spawner"
"Pavona duerdeni","spawner"
"Pavona gigantea","spawner"
"Pavona varians","spawner"
"Pectinia alcicornis","spawner"
"Pectinia lactuca","spawner"
"Pectinia paeonia","spawner"
"Platygyra contorta","spawner"
"Platygyra daedalea","spawner"
"Platygyra lamellina","spawner"
"Platygyra pini","spawner"
"Platygyra ryukyuensis","spawner"
"Platygyra sinensis","spawner"
"Plesiastrea versipora","spawner"
"Pleuractis granulosa","spawner"
"Pleuractis paumotensis","spawner"
"Pocillopora damicornis","both"
"Pocillopora elegans","spawner"
"Pocillopora grandis","spawner"
"Pocillopora meandrina","spawner"
"Pocillopora verrucosa","spawner"
"Polyphyllia novaehiberniae","spawner"
"Porites annae","spawner"
"Porites astreoides","brooder"
"Porites brighami","brooder"
"Porites compressa","spawner"
"Porites cylindrica","spawner"
"Porites evermanni","spawner"
"Porites furcata","brooder"
"Porites lobata","spawner"
"Porites lutea","spawner"
"Porites murrayensis","brooder"
"Porites panamensis","brooder"
"Porites porites","brooder"
"Porites rus","spawner"
"Porites solida","spawner"
"Porites stephensoni","brooder"
"Pourtalopsammia togata","brooder"
"Premocyathus cornuformis","spawner"
"Psammocora profundacella","spawner"
"Psammocora stellata","spawner"
"Pseudodiploria clivosa","spawner"
"Pseudodiploria strigosa","spawner"
"Rhizopsammia minuta","brooder"
"Sandalolitha dentata","spawner"
"Sandalolitha robusta","spawner"
"Scapophyllia cylindrica","spawner"
"Scolymia wellsii","brooder"
"Seriatopora caliendrum","brooder"
"Seriatopora hystrix","brooder"
"Siderastrea radians","brooder"
"Siderastrea siderea","spawner"
"Siderastrea stellata","brooder"
"Solenosmilia variabilis","spawner"
"Stephanocoenia intersepta","spawner"
"Stylaraea punctata","brooder"
"Stylophora pistillata","brooder"
"Symphyllia recta","spawner"
"Tubastraea diaphana","brooder"
"Tubastraea faulkneri","brooder"
"Turbinaria bifrons","spawner"
"Turbinaria frondens","spawner"
"Turbinaria mesenterina","spawner"
"Turbinaria radicalis","spawner"
"Turbinaria reniformis","spawner"
