"species","growthForm","growthFormClasses"
"Pocillopora woodjonesi","branching_open","branching"
"Pocillopora zelli","branching_open","branching"
"Podabacia crustacea","encrusting","encrusting"
"Podabacia kunzmanni","laminar","laminar"
"Podabacia lankaensis","encrusting","encrusting"
"Podabacia motuporensis","encrusting","encrusting"
"Podabacia sinai","laminar","laminar"
"Polycyathus chaishanensis","encrusting","encrusting"
"Polyphyllia novaehiberniae","massive","massive"
"Polyphyllia talpina","massive","massive"
"Porites annae","digitate","digitate"
"Porites aranetai","digitate","digitate"
"Porites arnaudi","laminar","laminar"
"Porites astreoides","massive","massive"
"Porites attenuata","branching_closed","branching"
"Porites australiensis","massive","massive"
"Porites baueri","encrusting","encrusting"
"Porites bernardi","digitate","digitate"
"Porites branneri","digitate","digitate"
"Porites brighami","submassive","massive"
"Porites cocosensis","digitate","digitate"
"Porites colonensis","laminar","laminar"
"Porites columnaris","columnar","columnar"
"Porites compressa","encrusting_long_uprights","encrusting_long_uprights"
"Porites cumulatus","branching_closed","branching"
"Porites cylindrica","encrusting_long_uprights","encrusting_long_uprights"
"Porites decasepta","encrusting","encrusting"
"Porites deformis","digitate","digitate"
"Porites densa","massive","massive"
"Porites desilveri","digitate","digitate"
"Porites divaricata","branching_closed","branching"
"Porites duerdeni","digitate","digitate"
"Porites echinulata","columnar","columnar"
"Porites ericacea","digitate","digitate"
"Porites evermanni","columnar","columnar"
"Porites excavata","digitate","digitate"
"Porites flavus","branching_closed","branching"
"Porites fontanesii","branching_closed","branching"
"Porites furcata","branching_closed","branching"
"Porites harrisoni","columnar","columnar"
"Porites hawaiiensis","submassive","massive"
"Porites heronensis","columnar","columnar"
"Porites horizontalata","digitate","digitate"
"Porites latistellata","digitate","digitate"
"Porites lichen","laminar","laminar"
"Porites lobata","massive","massive"
"Porites lutea","massive","massive"
"Porites mayeri","massive","massive"
"Porites monticulosa","encrusting","encrusting"
"Porites murrayensis","massive","massive"
"Porites myrmidonensis","massive","massive"
"Porites napopora","digitate","digitate"
"Porites negrosensis","branching_closed","branching"
"Porites nigrescens","branching_closed","branching"
"Porites nodifera","columnar","columnar"
"Porites okinawensis","massive","massive"
"Porites ornata","branching_closed","branching"
"Porites panamensis","submassive","massive"
"Porites porites","branching_closed","branching"
"Porites profundus","branching_closed","branching"
"Porites pukoensis","columnar","columnar"
"Porites randalli","submassive","massive"
"Porites rugosus","branching_closed","branching"
"Porites rus","digitate","digitate"
"Porites sillimaniani","digitate","digitate"
"Porites solida","massive","massive"
"Porites somaliensis","massive","massive"
"Porites stephensoni","massive","massive"
"Porites studeri","massive","massive"
"Porites sverdrupi","branching_closed","branching"
"Porites tuberculosus","branching_closed","branching"
"Porites vaughani","encrusting","encrusting"
"Psammocora albopicta","encrusting","encrusting"
"Psammocora contigua","columnar","columnar"
"Psammocora digitata","columnar","columnar"
"Psammocora haimiana","submassive","massive"
"Psammocora interstinctus","massive","massive"
"Psammocora nierstraszi","massive","massive"
"Psammocora profundacella","submassive","massive"
"Psammocora stellata","submassive","massive"
"Pseudodiploria clivosa","massive","massive"
"Pseudodiploria strigosa","massive","massive"
"Pseudosiderastrea formosa","encrusting","encrusting"
"Pseudosiderastrea tayamai","massive","massive"
"Sandalolitha dentata","massive","massive"
"Sandalolitha robusta","massive","massive"
"Scapophyllia cylindrica","columnar","columnar"
"Schizoculina africana","branching_open","branching"
"Schizoculina fissipara","encrusting_long_uprights","encrusting_long_uprights"
"Sclerophyllia margariticola","massive","massive"
"Sclerophyllia maxima","massive","massive"
"Scolymia cubensis","massive","massive"
"Scolymia lacera","massive","massive"
"Scolymia wellsii","massive","massive"
"Seriatopora aculeata","branching_closed","branching"
"Seriatopora caliendrum","branching_closed","branching"
"Seriatopora dentritica","branching_closed","branching"
"Seriatopora guttata","branching_closed","branching"
"Seriatopora hystrix","branching_closed","branching"
"Seriatopora stellata","branching_closed","branching"
"Siderastrea radians","massive","massive"
"Siderastrea savignyana","massive","massive"
"Siderastrea siderea","massive","massive"
"Siderastrea stellata","massive","massive"
"Simplastrea vesicularis","encrusting","encrusting"
"Solenastrea bournoni","massive","massive"
"Solenastrea hyades","submassive","massive"
"Stephanocoenia intersepta","massive","massive"
"Stylaraea punctata","encrusting","encrusting"
"Stylocoeniella armata","encrusting","encrusting"
"Stylocoeniella cocosensis","encrusting","encrusting"
"Stylocoeniella guentheri","digitate","digitate"
"Stylocoeniella muscosus","digitate","digitate"
"Stylophora danae","branching_closed","branching"
"Stylophora kuehlmanni","branching_closed","branching"
"Stylophora madagascarensis","branching_closed","branching"
"Stylophora mamillata","encrusting","encrusting"
"Stylophora pistillata","branching_closed","branching"
"Stylophora subseriata","branching_closed","branching"
"Stylophora wellsi","branching_closed","branching"
"Symphyllia recta","massive","massive"
"Trachyphyllia geoffroyi","massive","massive"
"Turbinaria bifrons","laminar","laminar"
"Turbinaria conspicua","laminar","laminar"
"Turbinaria crater","laminar","laminar"
"Turbinaria frondens","laminar","laminar"
"Turbinaria heronensis","laminar","laminar"
"Turbinaria irregularis","laminar","laminar"
"Turbinaria mesenterina","laminar","laminar"
"Turbinaria patula","laminar","laminar"
"Turbinaria peltata","laminar","laminar"
"Turbinaria radicalis","encrusting","encrusting"
"Turbinaria reniformis","laminar","laminar"
"Turbinaria stellulata","massive","massive"
"Zoopilus echinatus","massive","massive"
