"species","growthForm","growthFormClasses"
"Acropora variolosa","branching_open","branching"
"Acropora vaughani","branching_closed","branching"
"Acropora verweyi","corymbose","corymbose"
"Acropora walindii","branching_open","branching"
"Acropora willisae","corymbose","corymbose"
"Acropora yongei","branching_closed","branching"
"Agaricia agaricites","laminar","laminar"
"Agaricia fragilis","encrusting","encrusting"
"Agaricia grahamae","laminar","laminar"
"Agaricia humilis","encrusting","encrusting"
"Agaricia lamarcki","laminar","laminar"
"Agaricia tenuifolia","laminar","laminar"
"Agaricia undata","laminar","laminar"
"Alveopora allingi","columnar","columnar"
"Alveopora catalai","branching_closed","branching"
"Alveopora daedalea","columnar","columnar"
"Alveopora excelsa","submassive","massive"
"Alveopora fenestrata","massive","massive"
"Alveopora gigas","columnar","columnar"
"Alveopora japonica","massive","massive"
"Alveopora marionensis","submassive","massive"
"Alveopora minuta","submassive","massive"
"Alveopora ocellata","encrusting","encrusting"
"Alveopora spongiosa","columnar","columnar"
"Alveopora tizardi","encrusting","encrusting"
"Alveopora verrilliana","submassive","massive"
"Alveopora viridis","columnar","columnar"
"Anacropora forbesi","branching_closed","branching"
"Anacropora matthai","branching_closed","branching"
"Anacropora pillai","branching_closed","branching"
"Anacropora puertogalerae","branching_closed","branching"
"Anacropora reticulata","branching_closed","branching"
"Anacropora spinosa","branching_closed","branching"
"Anacropora spumosa","branching_closed","branching"
"Anomastraea irregularis","submassive","massive"
"Astrangia poculata","submassive","massive"
"Astrea annuligera","encrusting","encrusting"
"Astrea curta","massive","massive"
"Astrea devantieri","massive","massive"
"Astreopora cucullata","massive","massive"
"Astreopora expansa","laminar","laminar"
"Astreopora explanata","laminar","laminar"
"Astreopora gracilis","massive","massive"
"Astreopora incrustans","encrusting","encrusting"
"Astreopora lambertsi","massive","massive"
"Astreopora listeri","massive","massive"
"Astreopora macrostoma","encrusting","encrusting"
"Astreopora moretonensis","laminar","laminar"
"Astreopora myriophthalma","massive","massive"
"Astreopora ocellata","massive","massive"
"Astreopora randalli","laminar","laminar"
"Astreopora scabra","massive","massive"
"Astreopora suggesta","massive","massive"
"Australogyra zelli","branching_closed","branching"
"Australophyllia wilsoni","massive","massive"
"Balanophyllia europaea","massive","massive"
"Bernardpora stutchburyi","encrusting","encrusting"
"Blastomussa loyae","massive","massive"
"Blastomussa merleti","encrusting","encrusting"
"Blastomussa omanensis","encrusting","encrusting"
"Blastomussa vivida","massive","massive"
"Blastomussa wellsi","massive","massive"
"Boninastrea boninensis","massive","massive"
"Cantharellus doederleini","massive","massive"
"Cantharellus jebbi","encrusting","encrusting"
"Cantharellus noumeae","encrusting","encrusting"
"Catalaphyllia jardinei","massive","massive"
"Caulastraea connata","massive","massive"
"Caulastraea curvata","branching_closed","branching"
"Caulastraea echinulata","massive","massive"
"Caulastraea furcata","massive","massive"
"Caulastraea tumida","massive","massive"
"Cladocora arbuscula","branching_closed","branching"
"Cladocora caespitosa","massive","massive"
"Coelastrea aspera","massive","massive"
"Coelastrea palauensis","massive","massive"
"Coeloseris mayeri","massive","massive"
"Colpophyllia natans","massive","massive"
"Coscinaraea columna","massive","massive"
"Coscinaraea crassa","encrusting","encrusting"
"Coscinaraea exesa","columnar","columnar"
"Coscinaraea hahazimaensis","massive","massive"
"Coscinaraea marshae","encrusting","encrusting"
"Coscinaraea mcneilli","encrusting","encrusting"
"Coscinaraea monile","massive","massive"
"Craterastrea levis","laminar","laminar"
"Ctenactis albitentaculata","massive","massive"
"Ctenactis crassa","massive","massive"
"Ctenactis echinata","massive","massive"
"Ctenella chagius","submassive","massive"
"Cycloseris boschmai","massive","massive"
"Cycloseris costulata","massive","massive"
"Cycloseris curvata","massive","massive"
"Cycloseris cyclolites","massive","massive"
"Cycloseris distorta","massive","massive"
"Cycloseris explanulata","laminar","laminar"
"Cycloseris fragilis","massive","massive"
"Cycloseris hexagonalis","massive","massive"
"Cycloseris mokai","massive","massive"
"Cycloseris sinensis","massive","massive"
"Cycloseris somervillei","massive","massive"
"Cycloseris tenuis","massive","massive"
"Cycloseris vaughani","massive","massive"
"Cycloseris wellsi","laminar","laminar"
"Cynarina lacrymalis","massive","massive"
"Cynarina macassarensis","massive","massive"
"Cyphastrea agassizi","massive","massive"
"Cyphastrea chalcidicum","massive","massive"
"Cyphastrea decadia","branching_closed","branching"
"Cyphastrea hexasepta","massive","massive"
"Cyphastrea japonica","submassive","massive"
"Cyphastrea microphthalma","massive","massive"
"Cyphastrea ocellina","massive","massive"
"Cyphastrea serailia","massive","massive"
"Danafungia horrida","massive","massive"
"Danafungia scruposa","massive","massive"
"Dendrogyra cylindrus","columnar","columnar"
"Dichocoenia stokesii","massive","massive"
"Diploastrea heliopora","massive","massive"
"Diploria labyrinthiformis","massive","massive"
"Dipsastraea albida","massive","massive"
"Dipsastraea amicorum","massive","massive"
"Dipsastraea camranensis","massive","massive"
"Dipsastraea danai","massive","massive"
"Dipsastraea faviaformis","massive","massive"
"Dipsastraea favus","massive","massive"
"Dipsastraea helianthoides","submassive","massive"
"Dipsastraea lacuna","massive","massive"
"Dipsastraea laddi","massive","massive"
"Dipsastraea laxa","massive","massive"
"Dipsastraea lizardensis","massive","massive"
"Dipsastraea maritima","massive","massive"
"Dipsastraea marshae","massive","massive"
"Dipsastraea matthaii","massive","massive"
"Dipsastraea maxima","massive","massive"
"Dipsastraea pallida","massive","massive"
"Dipsastraea rosaria","encrusting","encrusting"
"Dipsastraea rotumana","massive","massive"
"Dipsastraea speciosa","massive","massive"
