"species","coloniality"
"Caulastraea curvata","colonial"
"Caulastraea echinulata","colonial"
"Caulastraea furcata","colonial"
"Caulastraea tumida","colonial"
"Cladocora arbuscula","colonial"
"Cladocora caespitosa","colonial"
"Coelastrea aspera","colonial"
"Coelastrea palauensis","colonial"
"Coeloseris mayeri","colonial"
"Colpophyllia natans","colonial"
"Coscinaraea columna","colonial"
"Coscinaraea crassa","colonial"
"Coscinaraea exesa","colonial"
"Coscinaraea hahazimaensis","colonial"
"Coscinaraea marshae","colonial"
"Coscinaraea mcneilli","colonial"
"Coscinaraea monile","colonial"
"Ctenactis albitentaculata","solitary"
"Ctenactis crassa","solitary"
"Ctenactis echinata","solitary"
"Ctenella chagius","colonial"
"Cycloseris boschmai","solitary"
"Cycloseris costulata","solitary"
"Cycloseris curvata","solitary"
"Cycloseris cyclolites","solitary"
"Cycloseris distorta","solitary"
"Cycloseris explanulata","solitary"
"Cycloseris fragilis","solitary"
"Cycloseris hexagonalis","solitary"
"Cycloseris mokai","solitary"
"Cycloseris sinensis","solitary"
"Cycloseris somervillei","solitary"
"Cycloseris tenuis","solitary"
"Cycloseris vaughani","solitary"
"Cycloseris wellsi","solitary"
"Cynarina lacrymalis","solitary"
"Cyphastrea agassizi","colonial"
"Cyphastrea chalcidicum","colonial"
"Cyphastrea decadia","colonial"
"Cyphastrea hexasepta","colonial"
"Cyphastrea japonica","colonial"
"Cyphastrea microphthalma","colonial"
"Cyphastrea ocellina","colonial"
"Cyphastrea serailia","colonial"
"Danafungia horrida","solitary"
"Danafungia scruposa","solitary"
"Dendrogyra cylindrus","colonial"
"Dichocoenia stokesii","colonial"
"Diploastrea heliopora","colonial"
"Diploria labyrinthiformis","colonial"
"Dipsastraea albida","colonial"
"Dipsastraea amicorum","colonial"
"Dipsastraea danai","colonial"
"Dipsastraea faviaformis","colonial"
"Dipsastraea favus","colonial"
"Dipsastraea helianthoides","colonial"
"Dipsastraea lacuna","colonial"
"Dipsastraea laddi","colonial"
"Dipsastraea laxa","colonial"
"Dipsastraea lizardensis","colonial"
"Dipsastraea maritima","colonial"
"Dipsastraea marshae","colonial"
"Dipsastraea matthaii","colonial"
"Dipsastraea maxima","colonial"
"Dipsastraea pallida","colonial"
"Dipsastraea rosaria","colonial"
"Dipsastraea rotumana","colonial"
"Dipsastraea speciosa","colonial"
"Dipsastraea truncata","colonial"
"Dipsastraea veroni","colonial"
"Dipsastraea vietnamensis","colonial"
"Duncanopsammia axifuga","colonial"
"Turbinaria peltata","colonial"
"Echinomorpha nishihirai","both"
"Echinophyllia aspera","colonial"
"Echinophyllia costata","colonial"
"Echinophyllia echinata","colonial"
"Echinophyllia echinoporoides","colonial"
"Echinophyllia orpheensis","colonial"
"Echinophyllia patula","colonial"
"Echinophyllia pectinata","colonial"
"Echinopora ashmorensis","colonial"
"Echinopora forskaliana","colonial"
"Echinopora fruticulosa","colonial"
"Echinopora gemmacea","colonial"
"Echinopora hirsutissima","colonial"
"Echinopora horrida","colonial"
"Echinopora irregularis","colonial"
"Echinopora lamellosa","colonial"
"Echinopora mammiformis","colonial"
"Echinopora pacificus","colonial"
"Echinopora robusta","colonial"
"Echinopora taylorae","colonial"
"Echinopora tiranensis","colonial"
"Erythrastrea flabellata","colonial"
"Euphyllia ancora","colonial"
"Euphyllia cristata","colonial"
"Euphyllia divisa","colonial"
"Euphyllia glabrescens","colonial"
"Euphyllia paraancora","colonial"
"Euphyllia paradivisa","colonial"
"Euphyllia paraglabrescens","colonial"
"Euphyllia yaeyamaensis","colonial"
"Eusmilia fastigiata","colonial"
"Favia fragum","colonial"
"Favites abdita","colonial"
"Favites acuticollis","colonial"
"Favites chinensis","colonial"
"Favites colemani","colonial"
"Favites complanata","colonial"
"Favites flexuosa","colonial"
"Favites halicora","colonial"
"Favites magnistellata","colonial"
"Favites micropentagonus","colonial"
"Favites paraflexuosus","colonial"
"Favites pentagona","colonial"
"Favites rotundata","colonial"
"Favites spinosa","colonial"
"Favites stylifera","colonial"
"Favites valenciennesi","colonial"
"Favites vasta","colonial"
"Fungia fungites","solitary"
"Galaxea acrhelia","colonial"
"Galaxea astreata","colonial"
"Galaxea cryptoramosa","colonial"
"Galaxea fascicularis","colonial"
"Galaxea horrescens","colonial"
"Galaxea longisepta","colonial"
"Galaxea paucisepta","colonial"
"Gardineroseris planulata","colonial"
"Goniastrea columella","colonial"
"Goniastrea edwardsi","colonial"
"Goniastrea favulus","colonial"
"Goniastrea minuta","colonial"
"Goniastrea pectinata","colonial"
"Goniastrea ramosa","colonial"
"Goniastrea retiformis","colonial"
"Goniastrea stelligera","colonial"
"Goniastrea thecata","colonial"
"Goniopora albiconus","colonial"
"Goniopora burgosi","colonial"
"Goniopora cellulosa","colonial"
"Goniopora ciliatus","colonial"
"Goniopora columna","colonial"
"Goniopora djiboutiensis","colonial"
"Goniopora eclipsensis","colonial"
"Goniopora fruticosa","colonial"
"Goniopora lobata","colonial"
"Goniopora pedunculata","colonial"
"Goniopora norfolkensis","colonial"
"Goniopora paliformis","colonial"
"Goniopora palmensis","colonial"
"Goniopora pandoraensis","colonial"
"Goniopora pearsoni","colonial"
"Goniopora pendulus","colonial"
"Goniopora planulata","colonial"
"Goniopora savignyi","colonial"
"Goniopora somaliensis","colonial"
"Goniopora stokesi","colonial"
"Goniopora sultani","colonial"
"Goniopora tenella","colonial"
"Goniopora tenuidens","colonial"
"Gyrosmilia interrupta","colonial"
"Halomitra clavator","colonial"
"Halomitra pileus","colonial"
"Heliofungia actiniformis","solitary"
"Herpolitha limax","colonial"
"Heterocyathus aequicostatus","solitary"
"Heteropsammia cochlea","colonial"
"Homophyllia australis","both"
"Homophyllia bowerbanki","colonial"
"Horastrea indica","colonial"
"Hydnophora bonsai","colonial"
"Hydnophora exesa","colonial"
"Hydnophora grandis","colonial"
"Hydnophora microconos","colonial"
"Hydnophora pilosa","colonial"
"Hydnophora rigida","colonial"
"Australophyllia wilsoni","colonial"
"Cynarina macassarensis","solitary"
"Isophyllia rigida","colonial"
"Isophyllia sinuosa","colonial"
"Isopora crateriformis","colonial"
"Isopora cuneata","colonial"
"Isopora elizabethensis","colonial"
"Isopora palifera","colonial"
"Leptastrea aequalis","colonial"
"Leptastrea bewickensis","colonial"
"Leptastrea bottae","colonial"
"Leptastrea inaequalis","colonial"
"Leptastrea pruinosa","colonial"
"Leptastrea purpurea","colonial"
"Leptastrea transversa","colonial"
"Leptoria irregularis","colonial"
"Leptoria phrygia","colonial"
"Leptoseris amitoriensis","colonial"
"Leptoseris cailleti","colonial"
"Helioseris cucullata","colonial"
"Leptoseris explanata","colonial"
"Leptoseris foliosa","colonial"
"Leptoseris gardineri","colonial"
"Leptoseris hawaiiensis","colonial"
"Leptoseris incrustans","colonial"
"Leptoseris mycetoseroides","colonial"
"Leptoseris papyracea","colonial"
"Leptoseris scabra","colonial"
"Leptoseris solida","colonial"
"Leptoseris striata","colonial"
"Leptoseris tubulifera","colonial"
"Leptoseris yabei","colonial"
"Lithophyllon concinna","solitary"
"Lithophyllon repanda","solitary"
"Lithophyllon scabra","solitary"
"Lithophyllon spinifer","solitary"
"Lithophyllon undulatum","colonial"
"Lobactis scutaria","solitary"
"Lobophyllia corymbosa","colonial"
"Lobophyllia dentata","colonial"
"Lobophyllia diminuta","colonial"
"Lobophyllia flabelliformis","colonial"
"Lobophyllia hataii","colonial"
"Lobophyllia hemprichii","colonial"
"Acanthastrea pachysepta","colonial"
"Lobophyllia robusta","colonial"
"Lobophyllia serrata","colonial"
"Madracis asanoi","colonial"
"Madracis asperula","colonial"
"Madracis decactis","colonial"
"Madracis formosa","colonial"
"Madracis kirbyi","colonial"
"Madracis mirabilis","colonial"
"Madracis pharensis","colonial"
"Madracis senaria","colonial"
"Manicina areolata","colonial"
"Meandrina brasiliensis","colonial"
"Meandrina meandrites","colonial"
"Merulina ampliata","colonial"
"Merulina scabricula","colonial"
"Merulina scheeri","colonial"
"Merulina triangularis","colonial"
"Micromussa amakusensis","colonial"
"Goniopora diminuta","colonial"
"Micromussa lordhowensis","colonial"
"Acanthastrea minuta","colonial"
"Micromussa multipunctata","colonial"
"Montastraea cavernosa","colonial"
"Montigyra kenti","colonial"
"Montipora aequituberculata","colonial"
"Montipora altasepta","colonial"
"Montipora angulata","colonial"
"Montipora aspergillus","colonial"
"Montipora australiensis","colonial"
"Montipora cactus","colonial"
"Montipora calcarea","colonial"
"Montipora caliculata","colonial"
"Montipora capitata","colonial"
"Montipora capricornis","colonial"
"Montipora cebuensis","colonial"
"Montipora circumvallata","colonial"
"Montipora cocosensis","colonial"
"Montipora confusa","colonial"
"Montipora corbettensis","colonial"
"Montipora crassituberculata","colonial"
"Montipora cryptus","colonial"
"Montipora danae","colonial"
"Montipora delicatula","colonial"
"Montipora digitata","colonial"
"Montipora dilatata","colonial"
"Montipora efflorescens","colonial"
"Montipora effusa","colonial"
"Montipora flabellata","colonial"
"Montipora florida","colonial"
"Montipora floweri","colonial"
"Montipora foliosa","colonial"
"Montipora foveolata","colonial"
"Montipora friabilis","colonial"
"Montipora gaimardi","colonial"
"Montipora grisea","colonial"
"Montipora hemispherica","colonial"
"Montipora hirsuta","colonial"
"Montipora hispida","colonial"
"Montipora hodgsoni","colonial"
"Montipora hoffmeisteri","colonial"
"Montipora incrassata","colonial"
"Montipora informis","colonial"
"Montipora kellyi","colonial"
"Montipora lobulata","colonial"
"Montipora mactanensis","colonial"
"Montipora malampaya","colonial"
"Montipora meandrina","colonial"
"Montipora millepora","colonial"
"Montipora mollis","colonial"
"Montipora monasteriata","colonial"
"Montipora niugini","colonial"
"Montipora nodosa","colonial"
"Montipora orientalis","colonial"
"Montipora pachytuberculata","colonial"
"Montipora palawanensis","colonial"
"Montipora patula","colonial"
"Montipora peltiformis","colonial"
"Montipora porites","colonial"
"Montipora samarensis","colonial"
"Montipora saudii","colonial"
"Montipora setosa","colonial"
"Montipora spongiosa","colonial"
"Montipora spongodes","colonial"
"Montipora spumosa","colonial"
"Montipora stellata","colonial"
"Montipora stilosa","colonial"
"Montipora taiwanensis","colonial"
"Montipora tuberculosa","colonial"
"Montipora turgescens","colonial"
"Montipora turtlensis","colonial"
"Montipora undata","colonial"
"Montipora venosa","colonial"
"Montipora verrilli","colonial"
"Montipora verrucosa","colonial"
"Montipora verruculosa","colonial"
"Montipora vietnamensis","colonial"
"Moseleya latistellata","colonial"
"Mussa angulosa","both"
"Mussismilia braziliensis","colonial"
"Mussismilia harttii","colonial"
"Mussismilia hispida","colonial"
"Favia leptophylla","colonial"
"Mycedium elephantotus","colonial"
"Mycedium mancaoi","colonial"
"Mycedium robokaki","colonial"
"Mycedium steeni","colonial"
"Mycedium umbra","colonial"
"Mycetophyllia aliciae","colonial"
"Mycetophyllia danaana","colonial"
"Mycetophyllia ferox","colonial"
"Mycetophyllia lamarckiana","colonial"
"Mycetophyllia reesi","colonial"
"Nemenzophyllia turbida","colonial"
"Oculina diffusa","colonial"
"Oculina patagonica","colonial"
"Oculina robusta","colonial"
"Oculina valenciennesi","colonial"
"Oculina varicosa","colonial"
"Orbicella annularis","colonial"
"Oulastrea crispata","colonial"
"Oulophyllia bennettae","colonial"
"Oulophyllia crispa","colonial"
"Oulophyllia levis","colonial"
"Oxypora convoluta","colonial"
"Oxypora crassispinosa","colonial"
"Oxypora egyptensis","colonial"
"Oxypora glabra","colonial"
"Oxypora lacera","colonial"
"Pachyseris foliosa","colonial"
"Pachyseris gemmae","colonial"
"Pachyseris involuta","colonial"
"Pachyseris rugosa","colonial"
"Pachyseris speciosa","colonial"
"Palauastrea ramosa","colonial"
"Paragoniastrea australensis","colonial"
"Paragoniastrea deformis","colonial"
"Paragoniastrea russelli","colonial"
"Paramontastraea peresi","colonial"
"Paramontastraea salebrosa","colonial"
"Paramontastraea serageldini","colonial"
"Lobophyllia rowleyensis","colonial"
"Lobophyllia vitiensis","both"
"Pavona bipartita","colonial"
"Pavona cactus","colonial"
"Pavona clavus","colonial"
"Pavona decussata","colonial"
"Pavona diffluens","colonial"
"Pavona duerdeni","colonial"
"Pavona explanulata","colonial"
"Pavona frondifera","colonial"
"Pavona gigantea","colonial"
"Pavona maldivensis","colonial"
"Pavona minuta","colonial"
"Pavona varians","colonial"
"Pavona venosa","colonial"
"Pectinia africana","colonial"
"Pectinia alcicornis","colonial"
"Pectinia elongata","colonial"
"Pectinia lactuca","colonial"
"Pectinia maxima","colonial"
"Pectinia paeonia","colonial"
"Pectinia pygmaea","colonial"
"Pectinia teres","colonial"
"Physogyra lichtensteini","colonial"
"Physophyllia ayleni","colonial"
"Platygyra acuta","colonial"
"Platygyra carnosa","colonial"
"Platygyra contorta","colonial"
"Platygyra crosslandi","colonial"
"Platygyra daedalea","colonial"
"Platygyra lamellina","colonial"
"Platygyra pini","colonial"
"Platygyra ryukyuensis","colonial"
"Platygyra sinensis","colonial"
"Platygyra verweyi","colonial"
"Plerogyra discus","colonial"
"Plerogyra simplex","colonial"
"Plerogyra sinuosa","colonial"
"Plesiastrea versipora","colonial"
"Pleuractis granulosa","solitary"
"Pleuractis moluccensis","solitary"
"Pleuractis paumotensis","solitary"
"Pleuractis seychellensis","solitary"
"Pleuractis taiwanensis","solitary"
"Pocillopora ankeli","colonial"
"Pocillopora capitata","colonial"
"Pocillopora damicornis","colonial"
"Pocillopora verrucosa","colonial"
"Pocillopora effusa","colonial"
"Pocillopora elegans","colonial"
"Pocillopora grandis","colonial"
"Pocillopora fungiformis","colonial"
"Pocillopora indiania","colonial"
"Pocillopora inflata","colonial"
"Pocillopora kelleheri","colonial"
"Pocillopora ligulata","colonial"
"Pocillopora meandrina","colonial"
"Pocillopora molokensis","colonial"
"Pocillopora woodjonesi","colonial"
"Pocillopora zelli","colonial"
"Podabacia crustacea","colonial"
"Podabacia lankaensis","colonial"
"Podabacia motuporensis","colonial"
"Podabacia sinai","colonial"
"Polyphyllia novaehiberniae","colonial"
"Polyphyllia talpina","colonial"
"Porites annae","colonial"
"Porites aranetai","colonial"
"Porites arnaudi","colonial"
"Porites astreoides","colonial"
"Porites attenuata","colonial"
"Porites australiensis","colonial"
"Porites bernardi","colonial"
"Porites brighami","colonial"
"Porites cocosensis","colonial"
"Porites colonensis","colonial"
"Porites columnaris","colonial"
"Porites compressa","colonial"
"Porites cumulatus","colonial"
"Porites cylindrica","colonial"
"Porites deformis","colonial"
"Porites densa","colonial"
"Porites desilveri","colonial"
"Porites divaricata","colonial"
