"species","BRI","sd","n"
"Lobophyllia agaricia",10.12,NA,1
"Lobophyllia corymbosa",42.83,25.87,3
"Lobophyllia flabelliformis",21.54,NA,1
"Lobophyllia hataii",35.75,NA,2
"Lobophyllia hemprichii",50.42,30.03,7
"Lobophyllia radians",12.31,NA,1
"Lobophyllia robusta",4,NA,1
"Lobophyllia vitiensis",0,NA,1
"Madracis auretenra",11,NA,1
"Madracis decactis",2.66,3.32,7
"Madracis formosa",2.75,NA,1
"Madracis myriaster",4.64,6.64,5
"Madracis pharensis",2.75,NA,1
"Madracis senaria",2.75,NA,1
"Manicina areolata",2.75,NA,1
"Meandrina danae",2.75,NA,1
"Meandrina meandrites",16.39,10.29,10
"Merulina ampliata",58.64,NA,2
"Merulina scabricula",9.09,NA,1
"Merulina triangularis",16.92,NA,1
"Micromussa lordhowensis",0,NA,1
"Millepora alcicornis",33.47,24.09,4
"Millepora complanata",38.5,NA,1
"Millepora dichotoma",35.75,NA,2
"Millepora exaesa",2.75,NA,1
"Millepora intricata",35.75,0,3
"Millepora platyphylla",35.75,NA,2
"Millepora tenera",69.93,NA,1
"Montastraea cavernosa",14.42,12.88,15
"Montipora aequituberculata",15.61,17.66,3
"Montipora caliculata",39.76,NA,1
"Montipora capitata",13.75,NA,1
"Montipora crassituberculata",15.87,NA,1
"Montipora danae",72.65,32.13,4
"Montipora digitata",18.52,10.94,10
"Montipora dilatata",38.5,NA,1
"Montipora flabellata",38.5,NA,1
"Montipora foliosa",19.42,14.23,10
"Montipora foveolata",29.93,40.88,3
"Montipora grisea",28.62,NA,2
"Montipora hispida",61.58,41.22,5
"Montipora hoffmeisteri",23.13,NA,1
"Montipora informis",72.85,22.21,4
"Montipora mollis",52.46,NA,1
"Montipora monasteriata",31.43,7.49,3
"Montipora patula",13.75,NA,1
"Montipora peltiformis",45.32,NA,1
"Montipora spongodes",60.91,NA,1
"Montipora tuberculosa",29.43,19.36,3
"Montipora undata",43.45,NA,1
"Montipora venosa",16.38,NA,2
"Montipora verrucosa",2.75,NA,1
"Mussa angulosa",11,NA,1
"Mycedium elephantotus",13.85,NA,2
"Mycetophyllia aliciae",11,NA,1
"Mycetophyllia danaana",11,NA,1
"Mycetophyllia ferox",11,NA,1
"Mycetophyllia lamarckiana",11,NA,1
"Mycetophyllia reesi",2.75,NA,1
"Oculina diffusa",11,NA,1
"Oculina valenciennesi",2.75,NA,1
"Oculina varicosa",2.75,NA,1
"Orbicella annularis",18.89,17.29,36
"Orbicella faveolata",21.96,14.74,19
"Orbicella franksi",17.37,15.59,14
"Oulophyllia crispa",22.43,NA,1
"Oxypora lacera",6.94,NA,1
"Pachyseris gemmae",57.38,NA,2
"Pachyseris rugosa",21.72,33.63,4
"Pachyseris speciosa",39.28,32.06,4
"Palauastrea ramosa",5.5,NA,1
"Paragoniastrea australensis",22.8,NA,1
"Paragoniastrea russelli",14.73,NA,2
"Pavona cactus",31.5,29.92,4
"Pavona clavus",44.56,24.99,29
"Pavona decussata",5.43,NA,1
"Pavona duerdeni",47.6,NA,1
"Pavona explanulata",3.41,NA,1
"Pavona gigantea",36.86,22.75,25
"Pavona maldivensis",3.93,NA,2
"Pavona minuta",63.25,NA,2
"Pavona varians",23.85,18.47,13
"Pavona venosa",13.98,19.1,3
"Pectinia alcicornis",3.69,NA,1
"Pectinia lactuca",68.81,45.42,4
"Pectinia paeonia",45.24,31.41,3
"Physogyra lichtensteini",71.5,NA,1
"Platygyra acuta",4.63,NA,1
"Platygyra daedalea",45.36,22.3,14
"Platygyra lamellina",39.59,33.9,3
"Platygyra pini",38.32,NA,1
"Platygyra ryukyuensis",14.32,NA,2
"Platygyra sinensis",40.05,5.24,3
"Platygyra verweyi",34.91,NA,1
"Plerogyra sinuosa",71.5,NA,1
"Plesiastrea versipora",0,NA,1
"Pleuractis paumotensis",0,NA,2
"Pocillopora capitata",35.15,5.01,5
"Pocillopora damicornis",42.29,29,47
"Pocillopora elegans",30.97,23.48,17
"Pocillopora grandis",21.85,25.36,12
"Pocillopora inflata",41.25,NA,1
"Pocillopora meandrina",32.77,6.8,7
"Pocillopora verrucosa",26.3034482758621,20.7246591231963,29
"Podabacia crustacea",5.41,NA,1
"Porites annae",5.57,NA,2
"Porites aranetai",35.75,NA,1
"Porites astreoides",16.01,14.77,30
"Porites attenuata",35.75,NA,1
"Porites branneri",2.75,NA,1
"Porites colonensis",2.75,NA,1
"Porites compressa",33.69,31.38,4
"Porites cylindrica",28.95,22.82,11
"Porites divaricata",2.75,NA,1
"Porites evermanni",5.5,NA,1
"Porites furcata",30.22,33.29,3
"Porites harrisoni",11,NA,1
"Porites heronensis",23.21,NA,1
"Porites horizontalata",35.75,NA,1
"Porites lichen",15.79,18.24,3
"Porites lobata",35.79,18.93,30
"Porites lutea",24.58,19.36,11
"Porites mayeri",11.69,NA,2
"Porites nigrescens",41.33,18.9,6
"Porites panamensis",27.6,15.1,8
"Porites porites",19.82,15.31,22
"Porites rus",7.28,8.76,7
"Porites sillimaniani",35.75,NA,2
"Porites solida",35.75,NA,2
"Porites stephensoni",0,NA,1
"Porites sverdrupi",2.5,NA,2
"Porites vaughani",24.05,NA,1
"Psammocora contigua",28.42,22.9,3
"Psammocora digitata",41.42,27.68,3
"Psammocora profundacella",5.5,NA,2
"Psammocora stellata",11.86,16.64,10
"Pseudodiploria clivosa",17.49,21.3,4
"Pseudodiploria strigosa",17.57,14.81,18
