"species","zooanthellae"
"Flabellum magnificum","azooxanthellate"
"Flabellum marcus","azooxanthellate"
"Flabellum marenzelleri","azooxanthellate"
"Flabellum messum","azooxanthellate"
"Flabellum moseleyi","azooxanthellate"
"Flabellum ongulense","azooxanthellate"
"Flabellum patens","azooxanthellate"
"Flabellum pavoninum","azooxanthellate"
"Flabellum politum","azooxanthellate"
"Flabellum sexcostatum","azooxanthellate"
"Flabellum thouarsii","azooxanthellate"
"Flabellum transversale","azooxanthellate"
"Flabellum tuthilli","azooxanthellate"
"Flabellum vaughani","azooxanthellate"
"Foveolocyathus alternans","azooxanthellate"
"Foveolocyathus verconis","azooxanthellate"
"Fungia fungites","zooxanthellate"
"Fungiacyathus crispus","azooxanthellate"
"Fungiacyathus dennanti","azooxanthellate"
"Fungiacyathus fissidiscus","azooxanthellate"
"Fungiacyathus fissilis","azooxanthellate"
"Fungiacyathus fragilis","azooxanthellate"
"Fungiacyathus granulosus","azooxanthellate"
"Fungiacyathus hydra","azooxanthellate"
"Fungiacyathus marenzelleri","azooxanthellate"
"Fungiacyathus margaretae","azooxanthellate"
"Fungiacyathus multicarinatus","azooxanthellate"
"Fungiacyathus paliferus","azooxanthellate"
"Fungiacyathus pliciseptus","azooxanthellate"
"Fungiacyathus pseudostephanus","azooxanthellate"
"Fungiacyathus pusillus","azooxanthellate"
"Fungiacyathus sandoi","azooxanthellate"
"Fungiacyathus sibogae","azooxanthellate"
"Fungiacyathus stephanus","azooxanthellate"
"Fungiacyathus symmetricus","azooxanthellate"
"Fungiacyathus turbinolioides","azooxanthellate"
"Fungiacyathus variegatus","azooxanthellate"
"Galaxea acrhelia","zooxanthellate"
"Galaxea astreata","zooxanthellate"
"Galaxea cryptoramosa","zooxanthellate"
"Galaxea fascicularis","zooxanthellate"
"Galaxea horrescens","zooxanthellate"
"Galaxea longisepta","zooxanthellate"
"Galaxea paucisepta","zooxanthellate"
"Gardineria hawaiiensis","azooxanthellate"
"Gardineria minor","azooxanthellate"
"Gardineria paradoxa","azooxanthellate"
"Gardineria philippinensis","azooxanthellate"
"Gardineria simplex","azooxanthellate"
"Gardineroseris planulata","zooxanthellate"
"Goniastrea columella","zooxanthellate"
"Goniastrea edwardsi","zooxanthellate"
"Goniastrea favulus","zooxanthellate"
"Goniastrea minuta","zooxanthellate"
"Goniastrea pectinata","zooxanthellate"
"Goniastrea ramosa","zooxanthellate"
"Goniastrea retiformis","zooxanthellate"
"Goniastrea stelligera","zooxanthellate"
"Goniastrea thecata","zooxanthellate"
"Goniocorella dumosa","azooxanthellate"
"Goniopora albiconus","zooxanthellate"
"Goniopora burgosi","zooxanthellate"
"Goniopora cellulosa","zooxanthellate"
"Goniopora ciliatus","zooxanthellate"
"Goniopora columna","zooxanthellate"
"Goniopora diminuta","zooxanthellate"
"Goniopora djiboutiensis","zooxanthellate"
"Goniopora eclipsensis","zooxanthellate"
"Goniopora fruticosa","zooxanthellate"
"Goniopora gracilis","zooxanthellate"
"Goniopora lobata","zooxanthellate"
"Goniopora mauritiensis","zooxanthellate"
"Goniopora norfolkensis","zooxanthellate"
"Goniopora paliformis","zooxanthellate"
"Goniopora palmensis","zooxanthellate"
"Goniopora pandoraensis","zooxanthellate"
"Goniopora pearsoni","zooxanthellate"
"Goniopora pedunculata","zooxanthellate"
"Goniopora pendulus","zooxanthellate"
"Goniopora planulata","zooxanthellate"
"Goniopora polyformis","zooxanthellate"
"Goniopora savignyi","zooxanthellate"
"Goniopora somaliensis","zooxanthellate"
"Goniopora stokesi","zooxanthellate"
"Goniopora sultani","zooxanthellate"
"Goniopora tantillus","zooxanthellate"
"Goniopora tenella","zooxanthellate"
"Goniopora tenuidens","zooxanthellate"
"Guynia annulata","azooxanthellate"
"Gyrosmilia interrupta","zooxanthellate"
"Halomitra clavator","zooxanthellate"
"Halomitra pileus","zooxanthellate"
"Heliofungia actiniformis","zooxanthellate"
"Heliofungia fralinae","zooxanthellate"
"Helioseris cucullata","zooxanthellate"
"Herpolitha limax","zooxanthellate"
"Heterocyathus aequicostatus","both"
"Heterocyathus alternatus","both"
"Heterocyathus hemisphaericus","azooxanthellate"
"Heterocyathus sulcatus","both"
"Heteropsammia cochlea","both"
"Heteropsammia eupsammides","both"
"Holcotrochus crenulatus","azooxanthellate"
"Holcotrochus scriptus","azooxanthellate"
"Homophyllia australis","zooxanthellate"
"Homophyllia bowerbanki","zooxanthellate"
"Hoplangia durotrix","azooxanthellate"
"Horastrea indica","zooxanthellate"
"Hydnophora bonsai","zooxanthellate"
"Hydnophora exesa","zooxanthellate"
"Hydnophora grandis","zooxanthellate"
"Hydnophora microconos","zooxanthellate"
"Hydnophora pilosa","zooxanthellate"
"Hydnophora rigida","zooxanthellate"
"Idiotrochus emarciatus","azooxanthellate"
"Idiotrochus kikutii","azooxanthellate"
"Isophyllia rigida","zooxanthellate"
"Isophyllia sinuosa","zooxanthellate"
"Isopora brueggemanni","zooxanthellate"
"Isopora crateriformis","zooxanthellate"
"Isopora cuneata","zooxanthellate"
"Isopora elizabethensis","zooxanthellate"
"Isopora palifera","zooxanthellate"
"Isopora togianensis","zooxanthellate"
"Javania antarctica","azooxanthellate"
"Javania borealis","azooxanthellate"
"Javania cailleti","azooxanthellate"
"Javania californica","azooxanthellate"
"Javania exserta","azooxanthellate"
"Javania fusca","azooxanthellate"
"Javania insignis","azooxanthellate"
"Javania lamprotichum","azooxanthellate"
"Javania pseudoalabastra","azooxanthellate"
"Kionotrochus suteri","azooxanthellate"
"Labyrinthocyathus delicatus","azooxanthellate"
"Labyrinthocyathus facetus","azooxanthellate"
"Labyrinthocyathus langae","azooxanthellate"
"Labyrinthocyathus limatulus","azooxanthellate"
"Labyrinthocyathus quaylei","azooxanthellate"
"Leptastrea aequalis","zooxanthellate"
"Leptastrea bewickensis","zooxanthellate"
"Leptastrea bottae","zooxanthellate"
"Leptastrea inaequalis","zooxanthellate"
"Leptastrea pruinosa","zooxanthellate"
"Leptastrea purpurea","zooxanthellate"
"Leptastrea transversa","zooxanthellate"
"Leptopenus antarcticus","azooxanthellate"
"Leptopenus discus","azooxanthellate"
"Leptopenus hypocoelus","azooxanthellate"
"Leptopenus solidus","azooxanthellate"
"Leptopsammia britannica","azooxanthellate"
"Leptopsammia chevalieri","azooxanthellate"
"Leptopsammia columna","azooxanthellate"
"Leptopsammia crassa","azooxanthellate"
"Leptopsammia formosa","azooxanthellate"
"Leptopsammia poculum","azooxanthellate"
"Leptopsammia pruvoti","azooxanthellate"
"Leptopsammia queenslandiae","azooxanthellate"
"Leptopsammia stokesiana","azooxanthellate"
"Leptopsammia trinitatis","azooxanthellate"
"Leptoria irregularis","zooxanthellate"
"Leptoria phrygia","zooxanthellate"
"Leptoseris amitoriensis","zooxanthellate"
"Leptoseris cailleti","zooxanthellate"
"Leptoseris explanata","zooxanthellate"
"Leptoseris foliosa","zooxanthellate"
"Leptoseris fragilis","zooxanthellate"
"Leptoseris gardineri","zooxanthellate"
"Leptoseris glabra","zooxanthellate"
"Leptoseris hawaiiensis","zooxanthellate"
"Leptoseris incrustans","zooxanthellate"
"Leptoseris mycetoseroides","zooxanthellate"
"Leptoseris papyracea","zooxanthellate"
"Leptoseris scabra","zooxanthellate"
"Leptoseris solida","zooxanthellate"
"Leptoseris striata","zooxanthellate"
"Leptoseris tubulifera","zooxanthellate"
"Leptoseris yabei","zooxanthellate"
"Letepsammia fissilis","azooxanthellate"
"Letepsammia formosissima","azooxanthellate"
"Letepsammia franki","azooxanthellate"
"Letepsammia superstes","azooxanthellate"
"Lithophyllon concinna","zooxanthellate"
"Lithophyllon ranjithi","zooxanthellate"
"Lithophyllon repanda","zooxanthellate"
"Lithophyllon scabra","zooxanthellate"
"Lithophyllon spinifer","zooxanthellate"
"Lithophyllon undulatum","zooxanthellate"
"Lobactis scutaria","zooxanthellate"
"Lobophyllia agaricia","zooxanthellate"
"Lobophyllia corymbosa","zooxanthellate"
"Lobophyllia costata","zooxanthellate"
"Lobophyllia dentata","zooxanthellate"
"Lobophyllia diminuta","zooxanthellate"
"Lobophyllia erythraea","zooxanthellate"
"Lobophyllia flabelliformis","zooxanthellate"
"Lobophyllia hassi","zooxanthellate"
"Lobophyllia hataii","zooxanthellate"
"Lobophyllia hemprichii","zooxanthellate"
"Lobophyllia ishigakiensis","zooxanthellate"
"Lobophyllia radians","zooxanthellate"
"Lobophyllia robusta","zooxanthellate"
"Lobophyllia rowleyensis","zooxanthellate"
"Lobophyllia serrata","zooxanthellate"
"Lobophyllia valenciennesii","zooxanthellate"
"Lobophyllia vitiensis","zooxanthellate"
"Lochmaeotrochus gardineri","azooxanthellate"
"Lochmaeotrochus oculeus","azooxanthellate"
"Lophelia pertusa","azooxanthellate"
"Madracis asanoi","both"
"Madracis asperula","azooxanthellate"
"Madracis auretenra","zooxanthellate"
"Madracis brueggemanni","azooxanthellate"
"Madracis carmabi","zooxanthellate"
"Madracis decactis","zooxanthellate"
"Madracis formosa","zooxanthellate"
"Madracis hellana","azooxanthellate"
"Madracis interjecta","azooxanthellate"
"Madracis kauaiensis","azooxanthellate"
"Madracis kirbyi","zooxanthellate"
"Madracis mirabilis","zooxanthellate"
"Madracis myriaster","azooxanthellate"
"Madracis pharensis","both"
"Madracis profunda","azooxanthellate"
"Madracis senaria","zooxanthellate"
"Madrepora arbuscula","azooxanthellate"
"Madrepora carolina","azooxanthellate"
"Madrepora minutiseptum","azooxanthellate"
"Madrepora oculata","azooxanthellate"
"Madrepora porcellana","azooxanthellate"
"Manicina areolata","zooxanthellate"
"Meandrina brasiliensis","zooxanthellate"
"Meandrina danae","zooxanthellate"
"Meandrina meandrites","zooxanthellate"
"Merulina ampliata","zooxanthellate"
"Merulina scabricula","zooxanthellate"
"Merulina scheeri","zooxanthellate"
"Merulina triangularis","zooxanthellate"
"Micromussa amakusensis","zooxanthellate"
"Micromussa lordhowensis","zooxanthellate"
"Micromussa multipunctata","zooxanthellate"
"Micromussa regularis","zooxanthellate"
"Monohedotrochus circularis","azooxanthellate"
"Monohedotrochus epithecatus","azooxanthellate"
"Monomyces pygmaea","azooxanthellate"
"Monomyces rubrum","azooxanthellate"
"Montastraea cavernosa","zooxanthellate"
"Montigyra kenti","zooxanthellate"
"Montipora aequituberculata","zooxanthellate"
"Montipora altasepta","zooxanthellate"
"Montipora angulata","zooxanthellate"
"Montipora aspergillus","zooxanthellate"
"Montipora australiensis","zooxanthellate"
"Montipora cactus","zooxanthellate"
"Montipora calcarea","zooxanthellate"
"Montipora caliculata","zooxanthellate"
"Montipora capitata","zooxanthellate"
"Montipora capricornis","zooxanthellate"
"Montipora cebuensis","zooxanthellate"
"Montipora circumvallata","zooxanthellate"
"Montipora cocosensis","zooxanthellate"
"Montipora confusa","zooxanthellate"
"Montipora corbettensis","zooxanthellate"
"Montipora crassituberculata","zooxanthellate"
"Montipora cryptus","zooxanthellate"
"Montipora danae","zooxanthellate"
"Montipora delicatula","zooxanthellate"
"Montipora digitata","zooxanthellate"
"Montipora dilatata","zooxanthellate"
"Montipora echinata","zooxanthellate"
"Montipora edwardsi","zooxanthellate"
"Montipora efflorescens","zooxanthellate"
"Montipora effusa","zooxanthellate"
"Montipora flabellata","zooxanthellate"
"Montipora florida","zooxanthellate"
"Montipora floweri","zooxanthellate"
"Montipora foliosa","zooxanthellate"
"Montipora foveolata","zooxanthellate"
"Montipora friabilis","zooxanthellate"
"Montipora gaimardi","zooxanthellate"
"Montipora granulosa","zooxanthellate"
"Montipora grisea","zooxanthellate"
"Montipora hemispherica","zooxanthellate"
"Montipora hirsuta","zooxanthellate"
"Montipora hispida","zooxanthellate"
"Montipora hodgsoni","zooxanthellate"
"Montipora hoffmeisteri","zooxanthellate"
"Montipora incrassata","zooxanthellate"
"Montipora informis","zooxanthellate"
"Montipora kellyi","zooxanthellate"
"Montipora lobulata","zooxanthellate"
"Montipora mactanensis","zooxanthellate"
"Montipora malampaya","zooxanthellate"
"Montipora meandrina","zooxanthellate"
"Montipora millepora","zooxanthellate"
"Montipora mollis","zooxanthellate"
"Montipora monasteriata","zooxanthellate"
"Montipora niugini","zooxanthellate"
"Montipora nodosa","zooxanthellate"
"Montipora orientalis","zooxanthellate"
"Montipora pachytuberculata","zooxanthellate"
"Montipora palawanensis","zooxanthellate"
"Montipora patula","zooxanthellate"
"Montipora peltiformis","zooxanthellate"
"Montipora porites","zooxanthellate"
"Montipora samarensis","zooxanthellate"
"Montipora saudii","zooxanthellate"
"Montipora setosa","zooxanthellate"
"Montipora spongiosa","zooxanthellate"
"Montipora spongodes","zooxanthellate"
"Montipora spumosa","zooxanthellate"
"Montipora stellata","zooxanthellate"
"Montipora stilosa","zooxanthellate"
"Montipora taiwanensis","zooxanthellate"
"Montipora tortuosa","zooxanthellate"
"Montipora tuberculosa","zooxanthellate"
"Montipora turgescens","zooxanthellate"
"Montipora turtlensis","zooxanthellate"
"Montipora undata","zooxanthellate"
"Montipora venosa","zooxanthellate"
"Montipora verrilli","zooxanthellate"
"Montipora verrucosa","zooxanthellate"
"Montipora verruculosa","zooxanthellate"
"Montipora vietnamensis","zooxanthellate"
"Moseleya latistellata","zooxanthellate"
"Mussa angulosa","zooxanthellate"
"Mussismilia braziliensis","zooxanthellate"
"Mussismilia harttii","zooxanthellate"
"Mussismilia hispida","zooxanthellate"
"Mycedium elephantotus","zooxanthellate"
"Mycedium mancaoi","zooxanthellate"
"Mycedium robokaki","zooxanthellate"
"Mycedium spina","zooxanthellate"
"Mycedium steeni","zooxanthellate"
"Mycedium umbra","zooxanthellate"
"Mycetophyllia aliciae","zooxanthellate"
"Mycetophyllia danaana","zooxanthellate"
"Mycetophyllia ferox","zooxanthellate"
"Mycetophyllia lamarckiana","zooxanthellate"
"Mycetophyllia reesi","zooxanthellate"
"Nemenzophyllia turbida","zooxanthellate"
"Nomlandia californica","azooxanthellate"
"Notocyathus conicus","azooxanthellate"
"Notocyathus venustus","azooxanthellate"
"Notophyllia etheridgi","azooxanthellate"
"Notophyllia piscacauda","azooxanthellate"
"Notophyllia recta","azooxanthellate"
"Oculina arbuscula","zooxanthellate"
"Oculina diffusa","both"
"Oculina patagonica","zooxanthellate"
"Oculina profunda","azooxanthellate"
"Oculina robusta","zooxanthellate"
"Oculina tenella","both"
"Oculina valenciennesi","zooxanthellate"
"Oculina varicosa","both"
"Oculina virgosa","azooxanthellate"
"Orbicella annularis","zooxanthellate"
"Orbicella faveolata","zooxanthellate"
"Orbicella franksi","zooxanthellate"
"Oulangia bradleyi","azooxanthellate"
"Oulangia cyathiformis","azooxanthellate"
"Oulangia stokesiana","azooxanthellate"
"Oulastrea crispata","zooxanthellate"
"Oulophyllia bennettae","zooxanthellate"
"Oulophyllia crispa","zooxanthellate"
"Oulophyllia levis","zooxanthellate"
"Oxypora convoluta","zooxanthellate"
"Oxypora crassispinosa","zooxanthellate"
"Oxypora egyptensis","zooxanthellate"
"Oxypora glabra","zooxanthellate"
"Oxypora lacera","zooxanthellate"
"Oxysmilia corrugata","azooxanthellate"
"Oxysmilia rotundifolia","azooxanthellate"
"Pachyseris foliosa","zooxanthellate"
"Pachyseris gemmae","zooxanthellate"
"Pachyseris inattesa","zooxanthellate"
"Pachyseris involuta","zooxanthellate"
"Pachyseris rugosa","zooxanthellate"
"Pachyseris speciosa","zooxanthellate"
"Palauastrea ramosa","zooxanthellate"
"Paraconotrochus antarcticus","azooxanthellate"
"Paraconotrochus capense","azooxanthellate"
"Paraconotrochus zeidleri","azooxanthellate"
"Paracyathus andersoni","azooxanthellate"
"Paracyathus arcuatus","azooxanthellate"
"Paracyathus cavatus","azooxanthellate"
"Paracyathus conceptus","azooxanthellate"
"Paracyathus coronatus","azooxanthellate"
"Paracyathus ebonensis","azooxanthellate"
"Paracyathus fulvus","azooxanthellate"
"Paracyathus humilis","azooxanthellate"
"Paracyathus indicus","azooxanthellate"
"Paracyathus lifuensis","azooxanthellate"
"Paracyathus molokensis","azooxanthellate"
"Paracyathus montereyensis","azooxanthellate"
"Paracyathus parvulus","azooxanthellate"
"Paracyathus porcellanus","azooxanthellate"
"Paracyathus profundus","azooxanthellate"
"Paracyathus pruinosus","azooxanthellate"
"Paracyathus pulchellus","azooxanthellate"
"Paracyathus rotundatus","azooxanthellate"
"Paracyathus stearnsii","azooxanthellate"
"Paracyathus stokesii","azooxanthellate"
"Paracyathus vittatus","azooxanthellate"
"Paragoniastrea australensis","zooxanthellate"
"Paragoniastrea deformis","zooxanthellate"
"Paragoniastrea russelli","zooxanthellate"
"Paramontastraea peresi","zooxanthellate"
"Paramontastraea salebrosa","zooxanthellate"
"Paramontastraea serageldini","zooxanthellate"
"Pavona bipartita","zooxanthellate"
"Pavona cactus","zooxanthellate"
"Pavona chiriquiensis","zooxanthellate"
"Pavona clavus","zooxanthellate"
"Pavona danai","zooxanthellate"
"Pavona decussata","zooxanthellate"
"Pavona diffluens","zooxanthellate"
"Pavona divaricata","zooxanthellate"
"Pavona duerdeni","zooxanthellate"
"Pavona explanulata","zooxanthellate"
"Pavona frondifera","zooxanthellate"
"Pavona gigantea","zooxanthellate"
"Pavona maldivensis","zooxanthellate"
"Pavona minuta","zooxanthellate"
"Pavona varians","zooxanthellate"
"Pavona venosa","zooxanthellate"
"Pavona xarifae","zooxanthellate"
"Pectinia africana","zooxanthellate"
"Pectinia alcicornis","zooxanthellate"
"Pectinia crassa","zooxanthellate"
"Pectinia elongata","zooxanthellate"
"Pectinia lactuca","zooxanthellate"
"Pectinia maxima","zooxanthellate"
"Pectinia paeonia","zooxanthellate"
"Pectinia pygmaea","zooxanthellate"
"Pectinia teres","zooxanthellate"
"Pedicellocyathus keyesi","azooxanthellate"
"Peponocyathus dawsoni","azooxanthellate"
"Peponocyathus folliculus","azooxanthellate"
"Peponocyathus minimus","azooxanthellate"
"Petrophyllia rediviva","azooxanthellate"
"Phacelocyathus flos","azooxanthellate"
"Phyllangia americana","azooxanthellate"
"Phyllangia consagensis","azooxanthellate"
"Phyllangia dispersa","azooxanthellate"
"Phyllangia echinosepes","azooxanthellate"
"Phyllangia granulata","azooxanthellate"
"Phyllangia hayamaensis","azooxanthellate"
"Phyllangia papuensis","azooxanthellate"
"Physogyra lichtensteini","zooxanthellate"
"Physophyllia ayleni","zooxanthellate"
"Placotrochides frustum","azooxanthellate"
"Placotrochides scaphula","azooxanthellate"
"Placotrochus laevis","azooxanthellate"
"Platygyra acuta","zooxanthellate"
"Platygyra carnosa","zooxanthellate"
"Platygyra contorta","zooxanthellate"
"Platygyra crosslandi","zooxanthellate"
"Platygyra daedalea","zooxanthellate"
"Platygyra lamellina","zooxanthellate"
"Platygyra pini","zooxanthellate"
"Platygyra ryukyuensis","zooxanthellate"
"Platygyra sinensis","zooxanthellate"
"Platygyra verweyi","zooxanthellate"
"Platygyra yaeyamaensis","zooxanthellate"
"Platytrochus compressus","azooxanthellate"
"Platytrochus hastatus","azooxanthellate"
"Platytrochus laevigatus","azooxanthellate"
"Platytrochus parisepta","azooxanthellate"
"Pleotrochus venustus","azooxanthellate"
"Pleotrochus zibrowii","azooxanthellate"
"Plerogyra cauliformis","zooxanthellate"
"Plerogyra diabolotus","zooxanthellate"
"Plerogyra discus","zooxanthellate"
"Plerogyra eurysepta","zooxanthellate"
"Plerogyra multilobata","zooxanthellate"
"Plerogyra simplex","zooxanthellate"
"Plerogyra sinuosa","zooxanthellate"
"Plesiastrea versipora","zooxanthellate"
"Pleuractis granulosa","zooxanthellate"
"Pleuractis gravis","zooxanthellate"
"Pleuractis moluccensis","zooxanthellate"
"Pleuractis paumotensis","zooxanthellate"
"Pleuractis seychellensis","zooxanthellate"
"Pleuractis taiwanensis","zooxanthellate"
"Pocillopora acuta","zooxanthellate"
"Pocillopora aliciae","zooxanthellate"
"Pocillopora ankeli","zooxanthellate"
"Pocillopora bairdi","zooxanthellate"
"Pocillopora brevicornis","zooxanthellate"
"Pocillopora capitata","zooxanthellate"
"Pocillopora damicornis","zooxanthellate"
"Pocillopora effusa","zooxanthellate"
"Pocillopora elegans","zooxanthellate"
"Pocillopora fungiformis","zooxanthellate"
"Pocillopora grandis","zooxanthellate"
"Pocillopora indiania","zooxanthellate"
"Pocillopora inflata","zooxanthellate"
"Pocillopora kelleheri","zooxanthellate"
"Pocillopora ligulata","zooxanthellate"
"Pocillopora meandrina","zooxanthellate"
"Pocillopora molokensis","zooxanthellate"
"Pocillopora solida","zooxanthellate"
"Pocillopora verrucosa","zooxanthellate"
"Pocillopora woodjonesi","zooxanthellate"
"Pocillopora zelli","zooxanthellate"
"Podabacia crustacea","zooxanthellate"
"Podabacia kunzmanni","zooxanthellate"
"Podabacia lankaensis","zooxanthellate"
"Podabacia motuporensis","zooxanthellate"
"Podabacia sinai","zooxanthellate"
"Polycyathus andamanensis","azooxanthellate"
"Polycyathus atlanticus","azooxanthellate"
"Polycyathus chaishanensis","zooxanthellate"
"Polycyathus difficilis","azooxanthellate"
"Polycyathus fulvus","azooxanthellate"
"Polycyathus furanaensis","azooxanthellate"
"Polycyathus fuscomarginatus","azooxanthellate"
"Polycyathus hodgsoni","azooxanthellate"
"Polycyathus hondaensis","azooxanthellate"
"Polycyathus isabela","azooxanthellate"
"Polycyathus marigondoni","azooxanthellate"
"Polycyathus muellerae","azooxanthellate"
"Polycyathus norfolkensis","azooxanthellate"
"Polycyathus octuplus","azooxanthellate"
"Polycyathus palifera","azooxanthellate"
"Polycyathus persicus","azooxanthellate"
"Polycyathus senegalensis","azooxanthellate"
"Polycyathus verrilli","azooxanthellate"
"Polymyces fragilis","azooxanthellate"
"Polymyces montereyensis","azooxanthellate"
"Polymyces wellsi","azooxanthellate"
"Polyphyllia novaehiberniae","zooxanthellate"
"Polyphyllia talpina","zooxanthellate"
"Porites annae","zooxanthellate"
"Porites aranetai","zooxanthellate"
"Porites arnaudi","zooxanthellate"
"Porites astreoides","zooxanthellate"
"Porites attenuata","zooxanthellate"
"Porites australiensis","zooxanthellate"
"Porites baueri","zooxanthellate"
"Porites bernardi","zooxanthellate"
"Porites branneri","zooxanthellate"
"Porites brighami","zooxanthellate"
"Porites cocosensis","zooxanthellate"
"Porites colonensis","zooxanthellate"
"Porites columnaris","zooxanthellate"
"Porites compressa","zooxanthellate"
"Porites cumulatus","zooxanthellate"
"Porites cylindrica","zooxanthellate"
"Porites decasepta","zooxanthellate"
"Porites deformis","zooxanthellate"
"Porites densa","zooxanthellate"
"Porites desilveri","zooxanthellate"
"Porites divaricata","zooxanthellate"
"Porites duerdeni","zooxanthellate"
"Porites echinulata","zooxanthellate"
"Porites ericacea","zooxanthellate"
"Porites evermanni","zooxanthellate"
"Porites excavata","zooxanthellate"
"Porites flavus","zooxanthellate"
"Porites fontanesii","zooxanthellate"
"Porites furcata","zooxanthellate"
"Porites gabonensis","zooxanthellate"
"Porites harrisoni","zooxanthellate"
"Porites hawaiiensis","zooxanthellate"
"Porites heronensis","zooxanthellate"
"Porites horizontalata","zooxanthellate"
"Porites latistellata","zooxanthellate"
"Porites lichen","zooxanthellate"
"Porites lobata","zooxanthellate"
"Porites lutea","zooxanthellate"
"Porites mayeri","zooxanthellate"
"Porites monticulosa","zooxanthellate"
"Porites murrayensis","zooxanthellate"
"Porites myrmidonensis","zooxanthellate"
"Porites napopora","zooxanthellate"
"Porites negrosensis","zooxanthellate"
"Porites nigrescens","zooxanthellate"
"Porites nodifera","zooxanthellate"
"Porites okinawensis","zooxanthellate"
"Porites ornata","zooxanthellate"
"Porites panamensis","zooxanthellate"
"Porites porites","zooxanthellate"
"Porites profundus","zooxanthellate"
"Porites pukoensis","zooxanthellate"
"Porites randalli","zooxanthellate"
"Porites rugosus","zooxanthellate"
"Porites rus","zooxanthellate"
"Porites sillimaniani","zooxanthellate"
"Porites solida","zooxanthellate"
"Porites somaliensis","zooxanthellate"
"Porites stephensoni","zooxanthellate"
"Porites studeri","zooxanthellate"
"Porites sverdrupi","zooxanthellate"
"Porites tuberculosus","zooxanthellate"
"Porites vaughani","zooxanthellate"
"Pourtalocyathus hispidus","azooxanthellate"
"Pourtalopsammia togata","azooxanthellate"
"Pourtalosmilia anthophyllites","azooxanthellate"
"Pourtalosmilia conferta","azooxanthellate"
"Premocyathus cornuformis","azooxanthellate"
"Premocyathus dentiformis","azooxanthellate"
"Psammocora albopicta","zooxanthellate"
"Psammocora contigua","zooxanthellate"
"Psammocora digitata","zooxanthellate"
"Psammocora haimiana","zooxanthellate"
"Psammocora interstinctus","zooxanthellate"
"Psammocora nierstraszi","zooxanthellate"
"Psammocora profundacella","zooxanthellate"
"Psammocora stellata","zooxanthellate"
"Pseudocyathoceras avis","azooxanthellate"
"Pseudodiploria clivosa","zooxanthellate"
"Pseudodiploria strigosa","zooxanthellate"
"Pseudosiderastrea formosa","zooxanthellate"
"Pseudosiderastrea tayamai","zooxanthellate"
"Rhizopsammia annae","azooxanthellate"
"Rhizopsammia bermudensis","azooxanthellate"
"Rhizopsammia compacta","azooxanthellate"
"Rhizopsammia goesi","azooxanthellate"
"Rhizopsammia minuta","azooxanthellate"
"Rhizopsammia nuda","azooxanthellate"
"Rhizopsammia pulchra","azooxanthellate"
"Rhizopsammia verrilli","azooxanthellate"
"Rhizopsammia wellingtoni","azooxanthellate"
"Rhizopsammia wettsteini","azooxanthellate"
"Rhizosmilia elata","azooxanthellate"
"Rhizosmilia gerdae","azooxanthellate"
"Rhizosmilia maculata","azooxanthellate"
"Rhizosmilia multipalifera","azooxanthellate"
"Rhizosmilia robusta","azooxanthellate"
"Rhizosmilia sagamiensis","azooxanthellate"
"Rhizosmilia valida","azooxanthellate"
"Rhizotrochus flabelliformis","azooxanthellate"
"Rhizotrochus levidensis","azooxanthellate"
"Rhizotrochus tuberculatus","azooxanthellate"
"Rhizotrochus typus","azooxanthellate"
"Rhombopsammia niphada","azooxanthellate"
"Rhombopsammia squiresi","azooxanthellate"
"Sandalolitha dentata","zooxanthellate"
"Sandalolitha robusta","zooxanthellate"
"Scapophyllia cylindrica","zooxanthellate"
"Schizoculina africana","zooxanthellate"
"Schizoculina fissipara","zooxanthellate"
"Schizocyathus fissilis","azooxanthellate"
"Sclerophyllia margariticola","zooxanthellate"
"Sclerophyllia maxima","zooxanthellate"
"Scolymia cubensis","zooxanthellate"
"Scolymia lacera","zooxanthellate"
"Scolymia wellsii","zooxanthellate"
"Seriatopora aculeata","zooxanthellate"
"Seriatopora caliendrum","zooxanthellate"
"Seriatopora dentritica","zooxanthellate"
"Seriatopora guttata","zooxanthellate"
"Seriatopora hystrix","zooxanthellate"
"Seriatopora stellata","zooxanthellate"
"Siderastrea radians","zooxanthellate"
"Siderastrea savignyana","zooxanthellate"
"Siderastrea siderea","zooxanthellate"
"Siderastrea stellata","zooxanthellate"
"Simplastrea vesicularis","zooxanthellate"
"Solenastrea bournoni","zooxanthellate"
"Solenastrea hyades","zooxanthellate"
"Solenosmilia variabilis","azooxanthellate"
"Sphenotrochus andrewianus","azooxanthellate"
"Sphenotrochus aurantiacus","azooxanthellate"
"Sphenotrochus auritus","azooxanthellate"
"Sphenotrochus evexicostatus","azooxanthellate"
"Sphenotrochus excavatus","azooxanthellate"
"Sphenotrochus gardineri","azooxanthellate"
"Sphenotrochus gilchristi","azooxanthellate"
"Sphenotrochus hancocki","azooxanthellate"
"Sphenotrochus imbricaticostatus","azooxanthellate"
"Sphenotrochus ralphae","azooxanthellate"
"Sphenotrochus squiresi","azooxanthellate"
"Stenocyathus vermiformis","azooxanthellate"
"Stephanocoenia intersepta","zooxanthellate"
"Stephanocyathus campaniformis","azooxanthellate"
"Stephanocyathus coronatus","azooxanthellate"
"Stephanocyathus crassus","azooxanthellate"
"Stephanocyathus diadema","azooxanthellate"
"Stephanocyathus explanans","azooxanthellate"
