"species","zooanthellae"
"Alveopora excelsa","zooxanthellate"
"Alveopora fenestrata","zooxanthellate"
"Alveopora gigas","zooxanthellate"
"Alveopora japonica","zooxanthellate"
"Alveopora marionensis","zooxanthellate"
"Alveopora minuta","zooxanthellate"
"Alveopora ocellata","zooxanthellate"
"Alveopora spongiosa","zooxanthellate"
"Alveopora tizardi","zooxanthellate"
"Alveopora verrilliana","zooxanthellate"
"Alveopora viridis","zooxanthellate"
"Anacropora forbesi","zooxanthellate"
"Anacropora matthai","zooxanthellate"
"Anacropora pillai","zooxanthellate"
"Anacropora puertogalerae","zooxanthellate"
"Anacropora reticulata","zooxanthellate"
"Anacropora spinosa","zooxanthellate"
"Anacropora spumosa","zooxanthellate"
"Anomastraea irregularis","zooxanthellate"
"Anomocora carinata","azooxanthellate"
"Anomocora fecunda","azooxanthellate"
"Anomocora gigas","azooxanthellate"
"Anomocora marchadi","azooxanthellate"
"Anomocora prolifera","azooxanthellate"
"Anthemiphyllia dentata","azooxanthellate"
"Anthemiphyllia frustum","azooxanthellate"
"Anthemiphyllia macrolobata","azooxanthellate"
"Anthemiphyllia multidentata","azooxanthellate"
"Anthemiphyllia pacifica","azooxanthellate"
"Anthemiphyllia patera costata","azooxanthellate"
"Anthemiphyllia patera patera","azooxanthellate"
"Anthemiphyllia spinifera","azooxanthellate"
"Astrangia atrata","azooxanthellate"
"Astrangia browni","azooxanthellate"
"Astrangia californica","azooxanthellate"
"Astrangia conferta","azooxanthellate"
"Astrangia costata","azooxanthellate"
"Astrangia dentata","azooxanthellate"
"Astrangia equatorialis","azooxanthellate"
"Astrangia haimei","azooxanthellate"
"Astrangia howardi","azooxanthellate"
"Astrangia macrodentata","azooxanthellate"
"Astrangia mercatoris","azooxanthellate"
"Astrangia poculata","both"
"Astrangia rathbuni","azooxanthellate"
"Astrangia solitaria","azooxanthellate"
"Astrangia woodsi","azooxanthellate"
"Astrea annuligera","zooxanthellate"
"Astrea curta","zooxanthellate"
"Astrea devantieri","zooxanthellate"
"Astreopora cucullata","zooxanthellate"
"Astreopora expansa","zooxanthellate"
"Astreopora explanata","zooxanthellate"
"Astreopora gracilis","zooxanthellate"
"Astreopora incrustans","zooxanthellate"
"Astreopora lambertsi","zooxanthellate"
"Astreopora listeri","zooxanthellate"
"Astreopora macrostoma","zooxanthellate"
"Astreopora moretonensis","zooxanthellate"
"Astreopora myriophthalma","zooxanthellate"
"Astreopora ocellata","zooxanthellate"
"Astreopora randalli","zooxanthellate"
"Astreopora scabra","zooxanthellate"
"Astreopora suggesta","zooxanthellate"
"Astroides calycularis","azooxanthellate"
"Aulocyathus atlanticus","azooxanthellate"
"Aulocyathus juvenescens","azooxanthellate"
"Aulocyathus matricidus","azooxanthellate"
"Aulocyathus recidivus","azooxanthellate"
"Australocyathus vincentinus","azooxanthellate"
"Australogyra zelli","zooxanthellate"
"Australophyllia wilsoni","zooxanthellate"
"Balanophyllia bairdiana","azooxanthellate"
"Balanophyllia bayeri","azooxanthellate"
"Balanophyllia bonaespei","azooxanthellate"
"Balanophyllia capensis","azooxanthellate"
"Balanophyllia caribbeana","azooxanthellate"
"Balanophyllia carinata","azooxanthellate"
"Balanophyllia cedrosensis","azooxanthellate"
"Balanophyllia cellulosa","azooxanthellate"
"Balanophyllia chnous","azooxanthellate"
"Balanophyllia corniculans","azooxanthellate"
"Balanophyllia crassiseptum","azooxanthellate"
"Balanophyllia crassitheca","azooxanthellate"
"Balanophyllia cumingii","azooxanthellate"
"Balanophyllia cyathoides","azooxanthellate"
"Balanophyllia dentata","azooxanthellate"
"Balanophyllia desmophyllioides","azooxanthellate"
"Balanophyllia diademata","azooxanthellate"
"Balanophyllia diffusa","azooxanthellate"
"Balanophyllia dineta","azooxanthellate"
"Balanophyllia diomedeae","azooxanthellate"
"Balanophyllia dubia","azooxanthellate"
