,df,logLik,AIC,delta,weight
124,5,165.79,-321.57,0.000,0.267
1245,6,166.78,-321.57,0.004,0.267
123456,8,168.00,-320.00,1.574,0.122
12345,7,166.87,-319.74,1.838,0.107
1234,6,165.79,-319.57,2.000,0.098
12,4,163.14,-318.27,3.301,0.051
12346,7,165.86,-317.73,3.847,0.039
125,5,163.56,-317.12,4.454,0.029
123,5,163.20,-316.40,5.178,0.020
