"species","numberClades","meanThermoRank","maxThermoRank"
"Hydnophora microconos",4,36.2175,53.12
"Hydnophora rigida",5,33.044,55.32
"Isophyllia rigida",2,24.805,25.98
"Isophyllia sinuosa",1,23.63,23.63
"Isopora brueggemanni",1,43.82,43.82
"Isopora palifera",4,26.1725,43.82
"Leptastrea bottae",1,21.72,21.72
"Leptastrea pruinosa",6,34.35,53.12
"Leptastrea purpurea",1,21.72,21.72
"Leptoria phrygia",5,31.608,53.12
"Leptoseris explanata",1,40.25,40.25
"Leptoseris incrustans",1,21.72,21.72
"Leptoseris mycetoseroides",5,33.318,53.12
"Leptoseris yabei",3,29.07,39.51
"Lithophyllon repanda",2,23.965,25.98
"Lithophyllon undulatum",3,29.1466666666667,39.51
"Lobactis scutaria",2,23.85,25.98
"Lobophyllia agaricia",2,23.965,25.98
"Lobophyllia corymbosa",2,33.115,40.25
"Lobophyllia hemprichii",6,39.95,55.32
"Lobophyllia radians",6,40.0733333333333,55.32
"Lobophyllia robusta",1,40.25,40.25
"Lobophyllia rowleyensis",2,23.965,25.98
"Madracis formosa",1,23.63,23.63
"Manicina areolata",2,22.675,23.63
"Meandrina meandrites",4,35.865,70.83
"Merulina ampliata",7,30.8028571428571,53.12
"Merulina scabricula",3,23.2166666666667,25.98
"Montastraea cavernosa",3,40.9733333333333,53.12
"Montipora aequituberculata",3,19.8466666666667,37.59
"Montipora angulata",1,37.59,37.59
"Montipora caliculata",3,19.8466666666667,37.59
"Montipora capitata",9,37.5122222222222,63.22
"Montipora capricornis",3,27.41,40.25
"Montipora confusa",1,37.59,37.59
"Montipora danae",3,19.9866666666667,25.98
"Montipora digitata",1,37.59,37.59
"Montipora efflorescens",2,27.575,37.59
"Montipora flabellata",1,37.03,37.03
"Montipora hispida",2,27.575,37.59
"Montipora mollis",3,28.3366666666667,37.59
"Montipora monasteriata",2,31.395,37.59
"Montipora patula",4,40.5975,53.12
"Montipora peltiformis",1,4.39,4.39
"Montipora spongodes",1,37.59,37.59
"Montipora stellata",2,50.405,63.22
"Montipora tuberculosa",3,26.7833333333333,37.59
"Montipora turtlensis",1,25.2,25.2
"Montipora venosa",2,23.46,25.2
"Montipora verrucosa",2,21.38,25.2
