"species","sexual_system"
"Goniopora columna","gonochore"
"Goniopora djiboutiensis","gonochore"
"Goniopora lobata","gonochore"
"Goniopora norfolkensis","gonochore"
"Goniopora pedunculata","gonochore"
"Goniopora savignyi","gonochore"
"Goniopora tenuidens","gonochore"
"Halomitra pileus","gonochore"
"Herpolitha limax","gonochore"
"Heterocyathus aequicostatus","gonochore"
"Heteropsammia cochlea","gonochore"
"Homophyllia bowerbanki","hermaphrodite"
"Hydnophora exesa","hermaphrodite"
"Hydnophora microconos","hermaphrodite"
"Hydnophora pilosa","hermaphrodite"
"Hydnophora rigida","hermaphrodite"
"Isopora brueggemanni","hermaphrodite"
"Isopora cuneata","hermaphrodite"
"Isopora palifera","hermaphrodite"
"Isopora togianensis","hermaphrodite"
"Leptastrea bottae","gonochore"
"Leptastrea purpurea","gonochore"
"Leptopsammia pruvoti","gonochore"
"Leptoria phrygia","hermaphrodite"
"Lithophyllon concinna","gonochore"
"Lithophyllon repanda","gonochore"
"Lobactis scutaria","gonochore"
"Lobophyllia hemprichii","hermaphrodite"
"Lobophyllia radians","hermaphrodite"
"Lobophyllia vitiensis","hermaphrodite"
"Lophelia pertusa","gonochore"
"Madracis decactis","hermaphrodite"
"Madracis formosa","hermaphrodite"
"Madracis mirabilis","hermaphrodite"
"Madracis pharensis","hermaphrodite"
"Madracis senaria","hermaphrodite"
"Madrepora oculata","gonochore"
"Manicina areolata","hermaphrodite"
"Meandrina meandrites","gonochore"
"Merulina ampliata","hermaphrodite"
"Merulina triangularis","hermaphrodite"
"Micromussa lordhowensis","hermaphrodite"
"Monomyces rubrum","gonochore"
"Montastraea cavernosa","gonochore"
"Montipora aequituberculata","hermaphrodite"
"Montipora altasepta","hermaphrodite"
"Montipora cactus","hermaphrodite"
"Montipora capitata","hermaphrodite"
"Montipora capricornis","hermaphrodite"
"Montipora crassituberculata","hermaphrodite"
"Montipora danae","hermaphrodite"
"Montipora digitata","hermaphrodite"
"Montipora dilatata","hermaphrodite"
"Montipora efflorescens","hermaphrodite"
"Montipora effusa","hermaphrodite"
"Montipora flabellata","hermaphrodite"
"Montipora foliosa","hermaphrodite"
"Montipora foveolata","hermaphrodite"
"Montipora gaimardi","hermaphrodite"
"Montipora grisea","hermaphrodite"
"Montipora hispida","hermaphrodite"
"Montipora hoffmeisteri","hermaphrodite"
"Montipora incrassata","hermaphrodite"
"Montipora informis","hermaphrodite"
"Montipora malampaya","hermaphrodite"
"Montipora mollis","hermaphrodite"
"Montipora monasteriata","hermaphrodite"
"Montipora patula","hermaphrodite"
"Montipora peltiformis","hermaphrodite"
"Montipora samarensis","hermaphrodite"
"Montipora spumosa","hermaphrodite"
"Montipora stellata","hermaphrodite"
"Montipora tortuosa","hermaphrodite"
"Montipora tuberculosa","hermaphrodite"
"Montipora turgescens","hermaphrodite"
"Montipora turtlensis","hermaphrodite"
"Montipora venosa","hermaphrodite"
"Montipora verrucosa","hermaphrodite"
"Moseleya latistellata","hermaphrodite"
"Mussa angulosa","hermaphrodite"
"Mussismilia braziliensis","hermaphrodite"
"Mussismilia harttii","hermaphrodite"
"Mussismilia hispida","hermaphrodite"
"Mycedium elephantotus","hermaphrodite"
"Mycedium robokaki","hermaphrodite"
"Mycetophyllia ferox","hermaphrodite"
"Oculina diffusa","gonochore"
"Oculina varicosa","gonochore"
"Orbicella annularis","hermaphrodite"
"Orbicella faveolata","hermaphrodite"
"Orbicella franksi","hermaphrodite"
"Oulastrea crispata","hermaphrodite"
"Oulophyllia crispa","hermaphrodite"
"Oxypora glabra","hermaphrodite"
"Oxypora lacera","hermaphrodite"
"Pachyseris foliosa","gonochore"
"Pachyseris rugosa","gonochore"
"Pachyseris speciosa","gonochore"
"Paracyathus stearnsii","gonochore"
"Paragoniastrea australensis","hermaphrodite"
"Paragoniastrea russelli","hermaphrodite"
"Pavona cactus","gonochore"
"Pavona chiriquiensis","gonochore"
"Pavona clavus","gonochore"
"Pavona duerdeni","gonochore"
"Pavona gigantea","gonochore"
"Pavona varians","gonochore"
"Pectinia alcicornis","hermaphrodite"
"Pectinia lactuca","hermaphrodite"
"Pectinia paeonia","hermaphrodite"
"Phyllangia americana","gonochore"
"Platygyra acuta","hermaphrodite"
"Platygyra contorta","hermaphrodite"
"Platygyra daedalea","hermaphrodite"
"Platygyra lamellina","hermaphrodite"
"Platygyra pini","hermaphrodite"
"Platygyra ryukyuensis","hermaphrodite"
"Platygyra sinensis","hermaphrodite"
"Plesiastrea versipora","gonochore"
"Pleuractis granulosa","gonochore"
"Pleuractis paumotensis","gonochore"
"Pocillopora damicornis","hermaphrodite"
"Pocillopora elegans","hermaphrodite"
"Pocillopora grandis","hermaphrodite"
"Pocillopora meandrina","hermaphrodite"
"Pocillopora verrucosa","hermaphrodite"
"Podabacia crustacea","gonochore"
"Polyphyllia novaehiberniae","gonochore"
"Polyphyllia talpina","gonochore"
"Porites annae","gonochore"
"Porites astreoides","gonochore"
"Porites compressa","gonochore"
"Porites cylindrica","gonochore"
"Porites evermanni","gonochore"
"Porites furcata","gonochore"
"Porites heronensis","gonochore"
"Porites horizontalata","gonochore"
"Porites lobata","gonochore"
"Porites lutea","gonochore"
"Porites murrayensis","gonochore"
"Porites panamensis","gonochore"
"Porites porites","gonochore"
"Porites rus","gonochore"
"Porites solida","gonochore"
"Premocyathus cornuformis","hermaphrodite"
"Psammocora contigua","gonochore"
"Psammocora digitata","gonochore"
"Psammocora stellata","gonochore"
"Pseudodiploria clivosa","hermaphrodite"
"Pseudodiploria strigosa","hermaphrodite"
"Sandalolitha dentata","gonochore"
"Sandalolitha robusta","gonochore"
"Scapophyllia cylindrica","hermaphrodite"
"Scolymia wellsii","hermaphrodite"
"Seriatopora hystrix","hermaphrodite"
"Siderastrea radians","gonochore"
"Siderastrea siderea","gonochore"
"Siderastrea stellata","gonochore"
"Solenastrea bournoni","gonochore"
"Solenosmilia variabilis","gonochore"
"Stephanocoenia intersepta","gonochore"
"Stylophora pistillata","hermaphrodite"
"Symphyllia recta","hermaphrodite"
"Tubastraea coccinea","gonochore"
"Tubastraea faulkneri","gonochore"
"Turbinaria frondens","gonochore"
"Turbinaria mesenterina","gonochore"
"Turbinaria reniformis","gonochore"
