"species","aggressiveness","coloniality","colony_max_diameter","corallite_area","egg_diameter","fecundity_polyp","growthFormClasses","growth_rate","mode_larval_development","reduced_scattering_coefficient","sexual_system","bleaching_probability"
"Acropora donei",35.766,"colonial",300,0.00950331777710913,0.485179295933743,69.1965108547009,"branching",71.0616674550615,"spawner",10.6385,"hermaphrodite",0.487762422866238
"Acropora downingi",44.087,"colonial",308.55,0.00567450173054656,0.553471840519776,36.6434839031339,"tables_or_plates",89.7278531968069,"spawner",7.9614,"hermaphrodite",0.478540124134263
"Acropora echinata",35.639,"colonial",150,0.00441786466911065,0.487167247105371,92.2691140247378,"branching",90.8946929680824,"spawner",8.8232,"hermaphrodite",0.384323404294182
"Acropora elegans",42.033,"colonial",168.5,0.00282743338823081,0.555231719828529,121.093213903134,"tables_or_plates",51.2915165566036,"spawner",8.63460000000001,"hermaphrodite",0.387132413879562
"Acropora elegantula",35.455,"colonial",228.05,0.00792113317694527,0.527617598619625,90.5152585365854,"branching",77.0324458711046,"spawner",8.53119999999999,"hermaphrodite",0.452696637408385
"Acropora elseyi",27.734,"colonial",50,0.00441786466911065,0.480825628304045,122.052758536585,"branching",135.05,"spawner",8.2,"hermaphrodite",0.268901078920425
"Acropora eurystoma",37.281,"colonial",142.96,0.0201061929829747,0.545661921882935,38.5820656097561,"corymbose",34.6285714285714,"spawner",7.8235,"hermaphrodite",0.428796594847575
"Acropora exquisita",47.7089999999999,"colonial",142.55,0.00406109755338736,0.538665141229949,17.7112185365854,"branching",63.2928503268519,"spawner",7.6909,"hermaphrodite",0.385420802422346
"Acropora fastigata",38.903,"colonial",107.5,0.00476010191881153,0.546825951813648,74.6600085365854,"branching",59.7825334626844,"spawner",8.7056,"hermaphrodite",0.359847212552253
"Acropora fenneri",39.419,"colonial",100,0.0049953286687489,0.546825951813648,74.6600085365854,"branching",58.287311900544,"spawner",8.7753,"hermaphrodite",0.35449668605046
