Taxon,Family,RSC,BRI,Number of records (vi),Std Error
Pocillopora damicornis,Pocilloporidae,11.49,41.33,47,4.31
Pocillopora damicornis,Pocilloporidae,4.23,41.33,47,4.31
Pocillopora eydouxi,Pocilloporidae,9.77,21.85,12,7.32
Porites astreoides,Poritidae,8.8,16.01,30,2.7
Porites compressa,Poritidae,11.45,34.1,5,12.16
Porites compressa,Poritidae,7.83,34.1,5,12.16
Porites cumulatus,Poritidae,9.41,27.28,238,1.49
Porites cylindrica,Poritidae,8.84,28.95,11,6.88
Porites lobata,Poritidae,3.85,35.79,30,3.46
Porites lobata,Poritidae,13.39,35.79,30,3.46
Porites lobata,Poritidae,9.78,35.79,30,3.46
Porites lobata,Poritidae,10.49,35.79,30,3.46
Porites lutea,Poritidae,8.69,23.34,12,5.75
Porites monticulosa,Poritidae,12.66,27.28,238,1.49
Porites nigrescens,Poritidae,8.65,32.96,6,9.48
Porites porites,Poritidae,7.22,19.82,22,3.27
Porites porites,Poritidae,13.26,19.82,22,3.27
Porites porites,Poritidae,9.35,19.82,22,3.27
Porites porites,Poritidae,8.14,19.82,22,3.27
Porites rus,Poritidae,17.76,7.28,7,3.31
Porites sp.,Poritidae,3.56,27.28,238,1.49
Psammocora contigua,Siderastreidae,12.29,35.31,55,2.95
Psammocora obtusangula,Siderastreidae,16.38,35.31,55,2.95
Seriatopora caliendrum,Pocilloporidae,4.44,53.14,17,6.77
Seriatopora hystrix,Pocilloporidae,5.84,61.46,9,9.66
Seriatopora hystrix,Pocilloporidae,3.48,61.46,9,9.66
Seriatopora hystrix,Pocilloporidae,3.83,61.46,9,9.66
Seriatopora hystrix,Pocilloporidae,10.7,61.46,9,9.66
Seriatopora hystrix,Pocilloporidae,7.99,61.46,9,9.66
Seriatopora hystrix,Pocilloporidae,5.26,61.46,9,9.66
Siderastrea sp.,Siderastreidae,15.21,19.25,33,2.8
Siderastrea stellata,Siderastreidae,14.09,19.25,33,2.8
Stylophora pistillata,Pocilloporidae,5.69,56.42,9,8.17
Stylophora pistillata,Pocilloporidae,11.74,56.42,9,8.17
Stylophora pistillata,Pocilloporidae,3.69,56.42,9,8.17
Stylophora subseriata,Pocilloporidae,9.91,43.69,23,5.57
Stylophora subseriata,Pocilloporidae,4.95,43.69,23,5.57
Symphyllia recta,Mussidae,7.16,6.28,16,1.29
Turbinaria mesenterina,Dendrophyllidae,11,20.87,3,12.95
Turbinaria mesenterina,Dendrophyllidae,16.32,20.87,3,12.95
Turbinaria mesenterina,Dendrophyllidae,12.59,20.87,3,12.95
Turbinaria mesenterina,Dendrophyllidae,15.31,20.87,3,12.95
Turbinaria mesenterina,Dendrophyllidae,5.55,20.87,3,12.95
